                                       1                                        2                                        3                                        4                                        5                                        6                                        7 
                          version_number                                 compiler                                    build                         MESA_SDK_version                                     date                                burn_min1                                burn_min2 
                                   12115                               "gfortran"                                  "9.2.0"                  "x86_64-linux-20190830"                               "20211116"                  5.0000000000000000E+001                  1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29 
                            model_number                                 star_age                                star_mass                             log_abs_mdot                                   log_dt                           mass_conv_core                                 log_Teff                                    log_L                                   radius                                    log_g                   surf_avg_Lrad_div_Ledd                             log_center_T                           log_center_Rho                             log_center_P                                center_h1                               center_he4                               surface_h1                              surface_he4                          runtime_minutes                                 tau_wind                                    Tstar                              simple_dXdQ                       env_binding_energy                                     menv                                simple_eb                                   lambda                                     dxdq                                       x2                           max_gradr_hbot 
                                       1                  5.5901699437494777E+001                  1.9999999124697037E+001                 -7.8052666138641689E+000                  1.7474250108400471E+000                  8.7571979749899853E+000                  4.5969460208709663E+000                  4.6780983087489041E+000                  4.6603222601397709E+000                  4.4020874318998544E+000                  3.0294297194857578E-001                  7.6150095199023431E+000                  8.8426637290643417E-001                  1.6710612938247461E+001                  7.4596145357435439E-001                  2.5184139999680316E-001                  7.4598059315035792E-001                  2.5184029282398074E-001                  6.3483333333333336E-002                  1.8598737322751469E-002                  4.5979645036884618E+000                  7.4598008262279669E-001                  1.9523670998994276E+050                  1.9999999124697045E+001                  3.2569310752097531E+050                  1.6681960453940898E+000                  7.4599999189376831E-001                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       5                  2.6064126190880546E+002                  1.9999995981873607E+001                 -7.8231265946382411E+000                  1.8007493886794010E+000                  1.0167073885679875E+001                  4.5938675576255301E+000                  4.6668345828540421E+000                  4.6659600133524313E+000                  4.4010372365674186E+000                  3.0016478080779752E-001                  7.6115989675924309E+000                  8.7246715659874385E-001                  1.6695545960276949E+001                  7.4594305264687599E-001                  2.5184578950288178E-001                  7.4598059315035936E-001                  2.5184029282398079E-001                  2.9531666666666667E-001                  1.8137679183401104E-002                  4.5948574200353027E+000                  7.4598008262280602E-001                  1.9334944654588205E+050                  1.9999995981873578E+001                  3.2529947911724115E+050                  1.6824432907804947E+000                  7.4599999189376831E-001                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                      10                  8.2505419522334239E+002                  1.9999987650180142E+001                 -7.8337780461726796E+000                  2.1966556189175250E+000                  8.8112775675117181E+000                  4.5944630944921778E+000                  4.6622339645696727E+000                  4.6285997734045088E+000                  4.4080198213978798E+000                  2.9821165210499706E-001                  7.6138913897679066E+000                  8.7985191272386343E-001                  1.6705195529264635E+001                  7.4592643396778902E-001                  2.5186163851213428E-001                  7.4598059315035725E-001                  2.5184029282398029E-001                  6.0385000000000000E-001                  1.7919636746367176E-002                  4.5954477235926978E+000                  7.4598008262283022E-001                  1.9440882294649397E+050                  1.9999987650180188E+001                  3.2792489556640794E+050                  1.6867799032797026E+000                  7.4599999189376820E-001                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                      15                  2.2294941854485705E+003                  1.9999967439022953E+001                 -7.8467945964614554E+000                  2.5925618491556492E+000                  8.5956161909591824E+000                  4.5957461568258831E+000                  4.6549526866006712E+000                  4.5629201217429713E+000                  4.4204329098215069E+000                  2.9541239197834179E-001                  7.6181313105091082E+000                  8.9284153635811225E-001                  1.6722464348025220E+001                  7.4587876526519337E-001                  2.5191197668528964E-001                  7.4598059315036314E-001                  2.5184029282398113E-001                  8.7558333333333327E-001                  1.7755529467471588E-002                  4.5967166305019758E+000                  7.4598008262289051E-001                  1.9636788838695995E+050                  1.9999967439022804E+001                  3.3264444458779885E+050                  1.6939859532037851E+000                  7.4599999189376831E-001                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                      20                  5.7241903019258098E+003                  1.9999919308710865E+001                 -7.8698958622108153E+000                  2.9884680793937730E+000                  9.1089114635006005E+000                  4.5954128451625902E+000                  4.6427689751132313E+000                  4.5062744005375848E+000                  4.4312823295163675E+000                  2.9157508136943011E-001                  7.6196458150972433E+000                  8.9544507889285641E-001                  1.6726849875563353E+001                  7.4573853757174480E-001                  2.5205903404156826E-001                  7.4598059315035992E-001                  2.5184029282398018E-001                  1.1488000000000000E+000                  1.7291360719716514E-002                  4.5963613428007788E+000                  7.4598008262303317E-001                  1.9711449029451931E+050                  1.9999919308710865E+001                  3.3682430081226674E+050                  1.7087749373929817E+000                  7.4599999189376831E-001                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                      25                  1.4141997427676768E+004                  1.9999812160880246E+001                 -7.9067656476127404E+000                  3.3314275936198321E+000                  9.4511590588776535E+000                  4.5911810233546486E+000                  4.6301077365483287E+000                  4.5284612726955720E+000                  4.4270139541483040E+000                  2.8836566636257749E-001                  7.6142234055610407E+000                  8.7743031494595058E-001                  1.6703446526496823E+001                  7.4539237879943598E-001                  2.5241792384119988E-001                  7.4598059315035647E-001                  2.5184029282397935E-001                  1.4273166666666666E+000                  1.6128373847511260E-002                  4.5921213868167579E+000                  7.4598008262334337E-001                  1.9464448051764186E+050                  1.9999812160880182E+001                  3.3517046291588138E+050                  1.7219623285721823E+000                  7.4599999189376842E-001                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                      30                  2.5703032248493902E+004                  1.9999670452514472E+001                 -7.9121451970694743E+000                  3.3957051778040244E+000                  9.3901208075951264E+000                  4.5884475635521378E+000                  4.6306537886135377E+000                  4.5887099143308454E+000                  4.4155309856751854E+000                  2.8914123445901246E-001                  7.6092373788311791E+000                  8.6241741155196261E-001                  1.6683214496577225E+001                  7.4492255126311746E-001                  2.5290043271383594E-001                  7.4598059315035659E-001                  2.5184029282398029E-001                  1.7000500000000001E+000                  1.5771272252984650E-002                  4.5893940337447487E+000                  7.4598008262375448E-001                  1.9231901087103130E+050                  1.9999670452514536E+001                  3.3076506920011603E+050                  1.7198771338415750E+000                  7.4599999189376842E-001                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                      35                  3.9984226516507784E+004                  1.9999495491881174E+001                 -7.9117274538422420E+000                  3.4917625959805818E+000                  9.3466525153310354E+000                  4.5865010608892636E+000                  4.6318843086534667E+000                  4.6365918660761087E+000                  4.4065106556826592E+000                  2.9039069841018733E-001                  7.6055613584122339E+000                  8.5130867936443755E-001                  1.6668199874315704E+001                  7.4434946468454122E-001                  2.5348518978235479E-001                  7.4598059315035470E-001                  2.5184029282397913E-001                  2.0475333333333334E+000                  1.5644313470754935E-002                  4.5874501163307553E+000                  7.4598008262426396E-001                  1.9059166816643515E+050                  1.9999495491881152E+001                  3.2734354038676603E+050                  1.7175123316561332E+000                  7.4599999189376831E-001                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                      40                  5.7204068473555832E+004                  1.9999284528113225E+001                 -7.9119095746029418E+000                  3.5619809041397059E+000                  9.3216116960776993E+000                  4.5849103709881351E+000                  4.6327176588924521E+000                  4.6751647948627797E+000                  4.3993099646794231E+000                  2.9137525257968833E-001                  7.6026416963255734E+000                  8.4237092373573963E-001                  1.6656110499824752E+001                  7.4366280999170886E-001                  2.5418267511292586E-001                  7.4598059315035614E-001                  2.5184029282398118E-001                  2.4091666666666667E+000                  1.5528764526531106E-002                  4.5858665452315313E+000                  7.4598008262488047E-001                  1.8920346686754631E+050                  1.9999284528113002E+001                  3.2463590986047969E+050                  1.7158031786370180E+000                  7.4599999189376831E-001                  0.0000000000000000E+000                  0.0000000000000000E+000 
