                                       1                                        2                                        3                                        4                                        5                                        6                                        7 
                          version_number                                 compiler                                    build                         MESA_SDK_version                                     date                                burn_min1                                burn_min2 
                                   12115                               "gfortran"                                  "9.2.0"                  "x86_64-linux-20190830"                               "20211116"                  5.0000000000000000E+001                  1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29 
                            model_number                                 star_age                                star_mass                             log_abs_mdot                                   log_dt                           mass_conv_core                                 log_Teff                                    log_L                                   radius                                    log_g                   surf_avg_Lrad_div_Ledd                             log_center_T                           log_center_Rho                             log_center_P                                center_h1                               center_he4                               surface_h1                              surface_he4                          runtime_minutes                                 tau_wind                                    Tstar                              simple_dXdQ                       env_binding_energy                                     menv                                simple_eb                                   lambda                                     dxdq                                       x2                           max_gradr_hbot 
                                       1                  1.3635777648593086E+002                  1.3999999645338695E+001                 -8.5848661035817635E+000                  2.1346799108044050E+000                  5.1293050306027839E+000                  4.5399357605291266E+000                  4.2722601329602146E+000                  3.7976713818040877E+000                  4.4249826143404434E+000                  2.4605065601797685E-001                  7.5896519800889397E+000                  1.0294442493102083E+000                  1.6804613241996528E+001                  7.4595635842133345E-001                  2.5184227056344594E-001                  7.4598059315035781E-001                  2.5184029282398102E-001                  6.4833333333333340E-002                  5.4898748594951821E-003                  4.5408319162247563E+000                  7.4598008262918203E-001                  1.2623971314331225E+050                  1.3999999645338667E+001                  1.9584082553021859E+050                  1.5513408629809895E+000                  7.4599999189376831E-001                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       5                  6.0598577662438390E+002                  1.3999998469416402E+001                 -8.6138173848277564E+000                  2.1542167057013879E+000                  6.0044715760101743E+000                  4.5369168666756128E+000                  4.2584045123032279E+000                  3.7898965826204383E+000                  4.4267626231050423E+000                  2.4350952495701461E-001                  7.5872893777138266E+000                  1.0203255863607301E+000                  1.6793253093372101E+001                  7.4593873004706135E-001                  2.5184906471912255E-001                  7.4598059315035703E-001                  2.5184029282398096E-001                  3.0678333333333335E-001                  5.2569514951877512E-003                  4.5377843449156963E+000                  7.4598008262918836E-001                  1.2532350175673742E+050                  1.3999998469416379E+001                  1.9624255104366119E+050                  1.5658878685386808E+000                  7.4599999189376831E-001                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                      10                  1.8796773451565693E+003                  1.3999995451093723E+001                 -8.6308819007580553E+000                  2.5501229359395121E+000                  5.1159505778911338E+000                  4.5373650520222943E+000                  4.2499975277372641E+000                  3.7456526095476597E+000                  4.4369622554262218E+000                  2.4107916336758559E-001                  7.5901970963325160E+000                  1.0297756250934378E+000                  1.6805607231687524E+001                  7.4591453615586545E-001                  2.5187399058578652E-001                  7.4598059315035858E-001                  2.5184029282398190E-001                  6.0783333333333334E-001                  5.1609603312852779E-003                  4.5382220306507204E+000                  7.4598008262920024E-001                  1.2621747377455945E+050                  1.3999995451093701E+001                  1.9856049943800711E+050                  1.5731617303057543E+000                  7.4599999189376831E-001                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                      15                  5.0490295489665750E+003                  1.3999988325508474E+001                 -8.6582661490851969E+000                  2.9460291661776359E+000                  5.1764179578220935E+000                  4.5374911820155939E+000                  4.2360363258279534E+000                  3.6837880551614179E+000                  4.4514277562655789E+000                  2.3747957506739498E-001                  7.5937293851377801E+000                  1.0393688720732501E+000                  1.6818885221250081E+001                  7.4584121809618265E-001                  2.5195098419787354E-001                  7.4598059315035847E-001                  2.5184029282398113E-001                  8.9054999999999995E-001                  5.0065767387726910E-003                  4.5383310650532129E+000                  7.4598008262922777E-001                  1.2728942335346531E+050                  1.3999988325508545E+001                  2.0189486600594832E+050                  1.5861087330509300E+000                  7.4599999189376820E-001                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                      20                  1.2935392024751087E+004                  1.3999972119242400E+001                 -8.7045043843880414E+000                  3.3419353964157601E+000                  5.5636232309927944E+000                  4.5345258141920555E+000                  4.2163079915429682E+000                  3.6505743991387933E+000                  4.4592941165205637E+000                  2.3323602874065599E-001                  7.5923327372010068E+000                  1.0314814139770510E+000                  1.6809844859986299E+001                  7.4564371684208197E-001                  2.5215673036565511E-001                  7.4598059315035825E-001                  2.5184029282398079E-001                  1.1744500000000000E+000                  4.6674632892696631E-003                  4.5353397620952345E+000                  7.4598008262929916E-001                  1.2688683821725104E+050                  1.3999972119242349E+001                  2.0373127420122971E+050                  1.6056139238997225E+000                  7.4599999189376831E-001                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                      25                  3.2252739470683653E+004                  1.3999936400544426E+001                 -8.7413747246964739E+000                  3.7127943725025854E+000                  5.6071948311968480E+000                  4.5299387095358101E+000                  4.2092078374642465E+000                  3.6981569279905524E+000                  4.4480447439397226E+000                  2.3192665038314819E-001                  7.5857043030386784E+000                  1.0106628965807041E+000                  1.6782181355946573E+001                  7.4516211265398413E-001                  2.5265295953010153E-001                  7.4598059315035459E-001                  2.5184029282397952E-001                  1.5172666666666668E+000                  4.2958747743622409E-003                  4.5307524560895480E+000                  7.4598008262944970E-001                  1.2490651224608087E+050                  1.3999936400544401E+001                  2.0110892894510774E+050                  1.6100756103804976E+000                  7.4599999189376820E-001                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                      30                  6.8054763715154419E+004                  1.3999871830877538E+001                 -8.7448959902233518E+000                  3.9443018758778985E+000                  5.5505758674123529E+000                  4.5268094116874229E+000                  4.2114813247055940E+000                  3.7616698431769695E+000                  4.4332520622732483E+000                  2.3340194738474596E-001                  7.5797657326543080E+000                  9.9288552593126511E-001                  1.6758056955293586E+001                  7.4428528996893151E-001                  2.5354764735592472E-001                  7.4598059315036191E-001                  2.5184029282398118E-001                  1.8827666666666665E+000                  4.1966507789574694E-003                  4.5276285160717711E+000                  7.4598008262971960E-001                  1.2311008087881976E+050                  1.3999871830877552E+001                  1.9771153489937287E+050                  1.6059735603129457E+000                  7.4599999189376831E-001                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                      35                  1.2730138464595636E+005                  1.3999765805104165E+001                 -8.7485921306226029E+000                  4.1463705171292231E+000                  5.5249316123978298E+000                  4.5241062669838259E+000                  4.2130328251889146E+000                  3.8155989014665108E+000                  4.4208846939038082E+000                  2.3473914322997694E-001                  7.5748971158893799E+000                  9.7790034193176312E-001                  1.6737693076391288E+001                  7.4284646754980566E-001                  2.5500553431597928E-001                  7.4598059315035459E-001                  2.5184029282398013E-001                  2.2544666666666666E+000                  4.1101750264492158E-003                  4.5249258218950814E+000                  7.4598008263015825E-001                  1.2160264195717652E+050                  1.3999765805104269E+001                  1.9491415967891148E+050                  1.6028776722429459E+000                  7.4599999189376831E-001                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                      40                  2.1413222906744503E+005                  1.3999611511823378E+001                 -8.7511233383542031E+000                  4.2918547331682158E+000                  5.5085847231711078E+000                  4.5219697764520914E+000                  4.2146486146596764E+000                  3.8605003030110354E+000                  4.4107181558624884E+000                  2.3588350864330163E-001                  7.5712206297613820E+000                  9.6617902286744473E-001                  1.6721663442632586E+001                  7.4074466847650111E-001                  2.5712524454057156E-001                  7.4598059315035747E-001                  2.5184029282398046E-001                  2.6238666666666663E+000                  4.0428096253416375E-003                  4.5227959417323502E+000                  7.4598008263079996E-001                  1.2040124739578631E+050                  1.3999611511823339E+001                  1.9264287064399506E+050                  1.6000072657946316E+000                  7.4599999189376831E-001                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                      45                  3.2672960537420854E+005                  1.3999411986453605E+001                 -8.7514989506347209E+000                  4.3862065866974280E+000                  5.4965626625842345E+000                  4.5204001348360832E+000                  4.2166044385953745E+000                  3.8972726171259482E+000                  4.4024775757635286E+000                  2.3692370506444038E-001                  7.5686738680318513E+000                  9.5759632191309663E-001                  1.6709779131365771E+001                  7.3801565509774003E-001                  2.5986925270414762E-001                  7.4598059315035703E-001                  2.5184029282397985E-001                  2.9882666666666666E+000                  4.0004005250823963E-003                  4.5212286000159514E+000                  7.4598008263163984E-001                  1.1948095643223763E+050                  1.3999411986453632E+001                  1.9081976937013276E+050                  1.5970726638629997E+000                  7.4599999189376831E-001                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                      50                  4.5961639768133505E+005                  1.3999176010936086E+001                 -8.7498091981618042E+000                  4.4453516475971515E+000                  5.4853150252587017E+000                  4.5192901932591996E+000                  4.2189161902303551E+000                  3.9276840496569818E+000                  4.3957187372471980E+000                  2.3790221655409322E-001                  7.5670321413194603E+000                  9.5153716127107668E-001                  1.6701214839976227E+001                  7.3478265829023948E-001                  2.6311382328612570E-001                  7.4598059315035725E-001                  2.5184029282398029E-001                  3.3496000000000001E+000                  3.9799038648514872E-003                  4.5201217795804425E+000                  7.4598008263261983E-001                  1.1878040442520797E+050                  1.3999176010935992E+001                  1.8933589917174908E+050                  1.5939994487135085E+000                  7.4599999189376831E-001                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                      55                  6.0696283402947360E+005                  1.3998912724605809E+001                 -8.7464998605318414E+000                  4.4821145941367755E+000                  5.4736872711879174E+000                  4.5185137420386807E+000                  4.2215144936785247E+000                  3.9535624132503258E+000                  4.3900064609450951E+000                  2.3885367518949868E-001                  7.5660463974526273E+000                  9.4730908658531932E-001                  1.6695055198670037E+001                  7.3117646457159879E-001                  2.6672853077851838E-001                  7.4598059315035792E-001                  2.5184029282398057E-001                  3.7136000000000000E+000                  3.9759956345919211E-003                  4.5193490488750845E+000                  7.4598008263371429E-001                  1.1823634292600567E+050                  1.3998912724605706E+001                  1.8808951057850725E+050                  1.5907926947319142E+000                  7.4599999189376831E-001                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                      60                  7.6357932782983384E+005                  1.3998630262583129E+001                 -8.7420366325385679E+000                  4.5045919319615573E+000                  5.4616812124763285E+000                  4.5179686482511894E+000                  4.2243149014723951E+000                  3.9762986037364709E+000                  4.3850169149681699E+000                  2.3978683529400996E-001                  7.5655175351582047E+000                  9.4436046042811006E-001                  1.6690574059795878E+001                  7.2731470674927146E-001                  2.7059636795565090E-001                  7.4598059315035703E-001                  2.5184029282398063E-001                  4.0767166666666670E+000                  3.9838078757792319E-003                  4.5188080870752678E+000                  7.4598008263489013E-001                  1.1780049135075533E+050                  1.3998630262582985E+001                  1.8700648138775228E+050                  1.5874847315444003E+000                  1.2428759450205187E+000                  7.4072805783985796E-001                  0.0000000000000000E+000 
                                      65                  9.2704260535551107E+005                  1.3998332054361402E+001                 -8.7367461058792202E+000                  4.5197663313959460E+000                  5.4493762592032891E+000                  4.5175777699334061E+000                  4.2272756888193994E+000                  3.9970643576872638E+000                  4.3804833626188140E+000                  2.4071665743047838E-001                  7.5652995406716768E+000                  9.4227444354285450E-001                  1.6687218919995878E+001                  7.2325304050832906E-001                  2.7466233058358441E-001                  7.4598059315035825E-001                  2.5184029282398063E-001                  4.4400166666666667E+000                  3.9997856172303307E-003                  4.5184216081503283E+000                  7.4598008263613402E-001                  1.1743543966118526E+050                  1.3998332054361429E+001                  1.8602700971736560E+050                  1.5840789650387899E+000                  1.4499338569240574E+000                  7.4072381264844578E-001                  0.0000000000000000E+000 
                                      70                  1.0945077302546271E+006                  1.3998022549278277E+001                 -8.7308904529016811E+000                  4.5284803229268542E+000                  5.4368810162840031E+000                  4.5172907505392885E+000                  4.2303436579597165E+000                  4.0165128834524593E+000                  4.3762577134840228E+000                  2.4164619943963983E-001                  7.5652953702875516E+000                  9.4078403782407349E-001                  1.6684639068579507E+001                  7.1905409619884364E-001                  2.7886427419839233E-001                  7.4598059315035625E-001                  2.5184029282398002E-001                  4.8055166666666667E+000                  4.0214382933304428E-003                  4.5181391594897251E+000                  7.4598008263742455E-001                  1.1711865737610478E+050                  1.3998022549278280E+001                  1.8511805427495264E+050                  1.5806025992979107E+000                  1.5403460951610959E+000                  7.4071956295221875E-001                  0.0000000000000000E+000 
                                      75                  1.2642688617038052E+006                  1.3997704365823470E+001                 -8.7246439471653403E+000                  4.5312802499813811E+000                  5.4242207741946782E+000                  4.5170730017483942E+000                  4.2334869760352172E+000                  4.0351187576393102E+000                  4.3722335283584917E+000                  2.4257773759117418E-001                  7.5654377743450665E+000                  9.3970231719694719E-001                  1.6682589292945856E+001                  7.1475978281748853E-001                  2.8316066679243368E-001                  7.4598059315035714E-001                  2.5184029282398052E-001                  5.1719833333333334E+000                  4.0470611377877025E-003                  4.5179260865764794E+000                  7.4598008263874815E-001                  1.1683434338579806E+050                  1.3997704365823461E+001                  1.8425610081694948E+050                  1.5770713942262542E+000                  1.7144318721199860E+000                  7.4071532277135999E-001                  0.0000000000000000E+000 
