                                       1                                        2                                        3                                        4                                        5                                        6                                        7 
                          version_number                                 compiler                                    build                         MESA_SDK_version                                     date                                burn_min1                                burn_min2 
                                   12115                               "gfortran"                                  "9.2.0"                  "x86_64-linux-20190830"                               "20211116"                  5.0000000000000000E+001                  1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29 
                            model_number                                 star_age                                star_mass                             log_abs_mdot                                   log_dt                           mass_conv_core                                 log_Teff                                    log_L                                   radius                                    log_g                   surf_avg_Lrad_div_Ledd                             log_center_T                           log_center_Rho                             log_center_P                                center_h1                               center_he4                               surface_h1                              surface_he4                          runtime_minutes                                 tau_wind                                    Tstar                              simple_dXdQ                       env_binding_energy                                     menv                                simple_eb                                   lambda                                     dxdq                                       x2                           max_gradr_hbot 
                                       1                  3.1622776601683819E+002                  9.9999999011946734E+000                 -9.5052196457209437E+000                  2.5000000000000000E+000                  3.2439451101518011E+000                  4.4790187688022698E+000                  3.8496149071176902E+000                  3.0905000318738050E+000                  4.4578318443082026E+000                  1.9162582070926759E-001                  7.5627673441981162E+000                  1.1802434320827475E+000                  1.6911392189669726E+001                  7.4595265764770680E-001                  2.5184320075205596E-001                  7.4598059315035814E-001                  2.5184029282398090E-001                  6.3399999999999998E-002                  1.1948511449009905E-003                  4.4797507278196846E+000                  7.4598008262438376E-001                  8.3283281933930514E+049                  9.9999999011946539E+000                  1.2278231080427455E+050                  1.4742732028941778E+000                  7.4599999189376820E-001                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       5                  1.3500028695669323E+003                  9.9999995916772040E+000                 -9.5406468549839776E+000                  2.4897969587914184E+000                  3.7685671871579345E+000                  4.4756584223077276E+000                  3.8323788327491100E+000                  3.0770277166042019E+000                  4.4616265192564404E+000                  1.8860140319745150E-001                  7.5609882019226307E+000                  1.1727449339731277E+000                  1.6902183238376217E+001                  7.4593537923407582E-001                  2.5185210423732179E-001                  7.4598059315035592E-001                  2.5184029282398002E-001                  2.8996666666666665E-001                  1.1302243992444524E-003                  4.4763740520746591E+000                  7.4598008262438609E-001                  8.2792225893271257E+049                  9.9999995916772129E+000                  1.2331988753845188E+050                  1.4895104728483259E+000                  7.4599999189376820E-001                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                      10                  4.1083220984733534E+003                  9.9999988273392031E+000                 -9.5661035906728511E+000                  2.8857031890295421E+000                  3.1964059369910860E+000                  4.4755940203216937E+000                  3.8203224440275734E+000                  3.0355124456222207E+000                  4.4734252668390591E+000                  1.8600981605304243E-001                  7.5639955780955308E+000                  1.1829956265120978E+000                  1.6915439148044559E+001                  7.4590356354704779E-001                  2.5188523375746918E-001                  7.4598059315035903E-001                  2.5184029282398096E-001                  5.5793333333333328E-001                  1.0956152209731609E-003                  4.4762997742234836E+000                  7.4598008262438886E-001                  8.3420518040020964E+049                  9.9999988273392599E+000                  1.2500645632490791E+050                  1.4985097103441158E+000                  7.4599999189376831E-001                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                      15                  1.0971903002145780E+004                  9.9999970627892054E+000                 -9.6027544284095043E+000                  3.2816094192676664E+000                  3.3011992433098025E+000                  4.4747840561257410E+000                  3.8039347115406823E+000                  2.9899097538986901E+000                  4.4865730659086918E+000                  1.8270477389453554E-001                  7.5666584015494145E+000                  1.1892439149857990E+000                  1.6924484390564452E+001                  7.4580862553834271E-001                  2.5198441060695781E-001                  7.4598059315035981E-001                  2.5184029282398074E-001                  8.2494999999999996E-001                  1.0420354870038871E-003                  4.4754730306881312E+000                  7.4598008262439774E-001                  8.3945895555698967E+049                  9.9999970627891877E+000                  1.2691303459839677E+050                  1.5118432385319980E+000                  7.4599999189376842E-001                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                      20                  2.8050688636371942E+004                  9.9999931254853642E+000                 -9.6567926531519461E+000                  3.6775156495057906E+000                  3.5085447312465758E+000                  4.4707918510356741E+000                  3.7853602600435510E+000                  2.9809539316892031E+000                  4.4891785260505364E+000                  1.7895879593198616E-001                  7.5637068920300292E+000                  1.1766086799247100E+000                  1.6908955903500779E+001                  7.4556226695638272E-001                  2.5223974793125031E-001                  7.4598059315035603E-001                  2.5184029282398085E-001                  1.1282166666666666E+000                  9.4352506314210002E-004                  4.4714638848193804E+000                  7.4598008262442361E-001                  8.3352138504971250E+049                  9.9999931254853891E+000                  1.2729422524784797E+050                  1.5271860750190105E+000                  7.4599999189376831E-001                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                      25                  7.0422052118818188E+004                  9.9999842664877008E+000                 -9.6850635664697844E+000                  4.0687716892227330E+000                  3.4776575814059720E+000                  4.4667242752918899E+000                  3.7837309267143082E+000                  3.0316268809185907E+000                  4.4745371716628313E+000                  1.7792044074089841E-001                  7.5570320224315699E+000                  1.1565220089054740E+000                  1.6881848714735348E+001                  7.4495691826709931E-001                  2.5286079952217211E-001                  7.4598059315035947E-001                  2.5184029282398124E-001                  1.4907166666666667E+000                  8.7110655780451250E-004                  4.4674005667568739E+000                  7.4598008262447291E-001                  8.2034018460622567E+049                  9.9999842664877026E+000                  1.2516630964654278E+050                  1.5257854240874997E+000                  7.4599999189376831E-001                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                      30                  1.6612750881654635E+005                  9.9999647394581110E+000                 -9.6933823902509459E+000                  4.4052831264179861E+000                  3.4418347876984297E+000                  4.4631500391689158E+000                  3.7860865827330930E+000                  3.0903100159771912E+000                  4.4578837231018680E+000                  1.7832732775047128E-001                  7.5504674357021271E+000                  1.1367549598832576E+000                  1.6854954010346649E+001                  7.4360973405891329E-001                  2.5422989532639079E-001                  7.4598059315035903E-001                  2.5184029282398190E-001                  1.8533833333333334E+000                  8.3588298392592525E-004                  4.4638305658446376E+000                  7.4598008262458626E-001                  8.0717631755361959E+049                  9.9999647394581217E+000                  1.2278899690043211E+050                  1.5212165450118698E+000                  7.4599999189376820E-001                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                      35                  3.6782189191788138E+005                  9.9999244473947151E+000                 -9.7023746251280034E+000                  4.7203723254648970E+000                  3.4234878837216400E+000                  4.4598212648845559E+000                  3.7883403654720187E+000                  3.1462011786452808E+000                  4.4423130933537278E+000                  1.7867131139185349E-001                  7.5447907501155855E+000                  1.1188247273949923E+000                  1.6830417683488744E+001                  7.4078704336125989E-001                  2.5707842137887577E-001                  7.4598059315035914E-001                  2.5184029282398085E-001                  2.2222000000000000E+000                  8.0166864615486720E-004                  4.4605033596163075E+000                  7.4598008262482429E-001                  7.9514351278831621E+049                  9.9999244473947275E+000                  1.2060672144251843E+050                  1.5167918684211972E+000                  7.4599999189376842E-001                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                      40                  7.5930853912427963E+005                  9.9998473010888400E+000                 -9.7061442637383664E+000                  4.9904143862036836E+000                  3.4055979373662133E+000                  4.4571795872453208E+000                  3.7922638173715653E+000                  3.1991276589541191E+000                  4.4278195804375082E+000                  1.7926953706770388E-001                  7.5407507678663439E+000                  1.1046654498403445E+000                  1.6810593826678272E+001                  7.3529054826243978E-001                  2.6260001919423775E-001                  7.4598059315035881E-001                  2.5184029282398146E-001                  2.5824166666666666E+000                  7.7752726697038002E-004                  4.4578695442055212E+000                  7.4598008262527482E-001                  7.8496932955050962E+049                  9.9998473010888524E+000                  1.1860956951552659E+050                  1.5110089662158519E+000                  7.4599999189376842E-001                  0.0000000000000000E+000                  0.0000000000000000E+000 
