                                       1                                        2                                        3                                        4                                        5                                        6                                        7 
                          version_number                                 compiler                                    build                         MESA_SDK_version                                     date                                burn_min1                                burn_min2 
                                   12115                               "gfortran"                                  "9.2.0"                  "x86_64-linux-20190830"                               "20211116"                  5.0000000000000000E+001                  1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29 
                            model_number                                 star_age                                star_mass                             log_abs_mdot                                   log_dt                           mass_conv_core                                 log_Teff                                    log_L                                   radius                                    log_g                   surf_avg_Lrad_div_Ledd                             log_center_T                           log_center_Rho                             log_center_P                                center_h1                               center_he4                               surface_h1                              surface_he4                          runtime_minutes                                 tau_wind                                    Tstar                              simple_dXdQ                       env_binding_energy                                     menv                                simple_eb                                   lambda                                     dxdq                                       x2                           max_gradr_hbot 
                                      45                  1.0726446935686345E+008                  1.9999791996884237E+000                 -1.2688715627543880E+001                  7.1383346641189629E+000                  3.7325988266547239E-001                  4.0744406910025557E+000                  1.4529247652610942E+000                  1.2613622725802371E+000                  4.5372351581672259E+000                  1.8699592712251432E-002                  7.3691741437858997E+000                  1.9233778600156946E+000                  1.7422510440333195E+001                  6.9981696023618423E-001                  2.9805763647125488E-001                  7.4598059315035858E-001                  2.5184029282398113E-001                  3.2302333333333331E+000                  9.3844712160830383E-006                  4.0749873334892968E+000                  7.4598008262342685E-001                  1.0110343298924805E+049                  1.9999791996884118E+000                  1.2033048978305465E+049                  1.1901721457455487E+000                  6.9931735797916721E+000                  7.1447773931584257E-001                  0.0000000000000000E+000 
                                      50                  1.8267573840645197E+008                  1.9999628390581830E+000                 -1.2646284781058439E+001                  7.1811770002137854E+000                  3.6934263892886388E-001                  4.0726356824783991E+000                  1.4778817966824376E+000                  1.3089660114801818E+000                  4.5050545399320585E+000                  1.9252748819830925E-002                  7.3731252839213584E+000                  1.9215190501171575E+000                  1.7412673693399487E+001                  6.6435305049549265E-001                  3.3354455147106454E-001                  7.4598059315035703E-001                  2.5184029282398029E-001                  3.6628166666666666E+000                  9.7061647248453379E-006                  4.0732040448317468E+000                  7.4598008262390536E-001                  9.9647149682029660E+048                  1.9999628390581727E+000                  1.1595248118331626E+049                  1.1636306864101613E+000                  2.8300598611923538E+000                  7.0989317724833767E-001                  0.0000000000000000E+000 
                                      55                  2.5430680565938464E+008                  1.9999456178191297E+000                 -1.2600647207982655E+001                  7.1395156185389963E+000                  3.6325660435099266E-001                  4.0710561821798503E+000                  1.5040325907523444E+000                  1.3588226187892043E+000                  4.4725820050378262E+000                  1.9871533335895916E-002                  7.3782925202147434E+000                  1.9230334432357656E+000                  1.7406614173305972E+001                  6.2762583912096792E-001                  3.7028311556864008E-001                  7.4598059315035703E-001                  2.5184029282398029E-001                  4.1055500000000000E+000                  1.0094179181676692E-005                  4.0716429984576905E+000                  7.4598008262440485E-001                  9.8325577980956630E+048                  1.9999456178191271E+000                  1.1169614111290697E+049                  1.1359825531311893E+000                  2.0325964690301190E+000                  7.0574101817520551E-001                  0.0000000000000000E+000 
                                      60                  3.1968273995385182E+008                  1.9999281593962333E+000                 -1.2555002492856065E+001                  7.1013574891126519E+000                  3.5652254341892070E-001                  4.0692802875447871E+000                  1.5300701914406249E+000                  1.4116705579427737E+000                  4.4394370346412968E+000                  2.0514012613172934E-002                  7.3839165214314058E+000                  1.9261223878484575E+000                  1.7402155920178746E+001                  5.9094788852068636E-001                  4.0696645061570103E-001                  7.4598059315035503E-001                  2.5184029282397996E-001                  4.5413166666666660E+000                  1.0493863847366599E-005                  4.0698890796881031E+000                  7.4598008262491178E-001                  9.7032948450441502E+048                  1.9999281593962193E+000                  1.0751275664486686E+049                  1.1080025739893682E+000                  1.8595607029850960E+000                  7.0210803652377374E-001                  0.0000000000000000E+000 
                                      65                  3.8006178787788028E+008                  1.9999102403042703E+000                 -1.2509125100564079E+001                  7.0698096338614347E+000                  3.4876923458071252E-001                  4.0670837556569133E+000                  1.5558390099104975E+000                  1.4689629090282366E+000                  4.4048781973813425E+000                  2.1181525214105254E-002                  7.3897557734081305E+000                  1.9300030494240217E+000                  1.7398239469422240E+001                  5.5388897122223268E-001                  4.4402795755950220E-001                  7.4598059315035892E-001                  2.5184029282398129E-001                  4.9736833333333328E+000                  1.0906609813640655E-005                  4.0677147099373760E+000                  7.4598008262543603E-001                  9.5701155886985228E+048                  1.9999102403042792E+000                  1.0331770292734179E+049                  1.0795867821006366E+000                  1.7347478990868022E+000                  6.9889579065241358E-001                  0.0000000000000000E+000 
                                      70                  4.3632410012910002E+008                  1.9998916678256633E+000                 -1.2462532597622788E+001                  7.0353977408216144E+000                  3.4004584716890440E-001                  4.0642966483096359E+000                  1.5814834969020168E+000                  1.5325240134023324E+000                  4.3680812478384903E+000                  2.1883327059466197E-002                  7.3957444191513053E+000                  1.9344210265625554E+000                  1.7394364480850150E+001                  5.1605663047185857E-001                  4.8186161937570671E-001                  7.4598059315035881E-001                  2.5184029282398124E-001                  5.4064333333333341E+000                  1.1335230276993865E-005                  4.0649539771488090E+000                  7.4598008262597515E-001                  9.4281203003991971E+048                  1.9998916678256704E+000                  9.9030784028746235E+048                  1.0503767545748559E+000                  1.6789871849287357E+000                  6.9604543137886488E-001                  0.0000000000000000E+000 
                                      75                  4.8637053481788075E+008                  1.9998732909678740E+000                 -1.2416495773658333E+001                  6.9755885524197963E+000                  3.3052199128943166E-001                  4.0609422794670404E+000                  1.6059522580257888E+000                  1.6008491381732746E+000                  4.3301910206258762E+000                  2.2602036798901867E-002                  7.4015572564968162E+000                  1.9391459358136285E+000                  1.7390523602500345E+001                  4.7917760718903252E-001                  5.1874138110281998E-001                  7.4598059315035592E-001                  2.5184029282397991E-001                  5.8040500000000002E+000                  1.1776090935007348E-005                  4.0616210891169091E+000                  7.4598008262650617E-001                  9.2810266822949408E+048                  1.9998732909678729E+000                  9.4802353220771879E+048                  1.0214640735989122E+000                  1.6074911210831766E+000                  6.9364797711787562E-001                  0.0000000000000000E+000 
                                      80                  5.2988527209187704E+008                  1.9998555710043247E+000                 -1.2372355479010123E+001                  6.9138469627317445E+000                  3.2042858534353935E-001                  4.0570774801386165E+000                  1.6287141132116343E+000                  1.6728651460494368E+000                  4.2919661200242967E+000                  2.3319121234728041E-002                  7.4070542115259812E+000                  1.9439779486851858E+000                  1.7386683253914409E+001                  4.4414528535764491E-001                  5.5377418685163515E-001                  7.4598059315035892E-001                  2.5184029282398096E-001                  6.1930500000000004E+000                  1.2210159404282134E-005                  4.0577812651781491E+000                  7.4598008262702287E-001                  9.1315685497596450E+048                  1.9998555710043269E+000                  9.0719551658386951E+048                  9.9347172573954790E-001                  1.5513250985843612E+000                  6.9168935756856731E-001                  0.0000000000000000E+000 
                                      85                  5.6744186099208188E+008                  1.9998386949889082E+000                 -1.2330557822464332E+001                  6.8498106470631583E+000                  3.1064308681830122E-001                  4.0527625608709901E+000                  1.6495854328675823E+000                  1.7479396387162007E+000                  4.2538314584375421E+000                  2.4028438651738121E-002                  7.4122082277470964E+000                  1.9487595246368219E+000                  1.7382779756742114E+001                  4.1123920809773473E-001                  5.8668062540734678E-001                  7.4598059315035781E-001                  2.5184029282398002E-001                  6.5783666666666667E+000                  1.2631759712906496E-005                  4.0534921340091161E+000                  7.4598008262751603E-001                  8.9811572283845356E+048                  1.9998386949889040E+000                  8.6821656405225800E+048                  9.6670901307495138E-001                  1.5019780722937817E+000                  6.9011090487396731E-001                  0.0000000000000000E+000 
                                      90                  5.9996039147101665E+008                  1.9998226576210225E+000                 -1.2291147369411672E+001                  6.7895731733990452E+000                  3.0137886965623806E-001                  4.0480823777434622E+000                  1.6686282103194818E+000                  1.8256107572580771E+000                  4.2160644657104838E+000                  2.4728322014047135E-002                  7.4170607991990236E+000                  1.9535821996081875E+000                  1.7379001463828143E+001                  3.8034028189470120E-001                  6.1757984374619046E-001                  7.4598059315035581E-001                  2.5184029282397991E-001                  6.9678666666666667E+000                  1.3040320284782566E-005                  4.0488357005910762E+000                  7.4598008262798532E-001                  8.8314889218482502E+048                  1.9998226576210196E+000                  8.3126471579253975E+048                  9.4125092965476198E-001                  1.4571018137669531E+000                  6.8884166101160149E-001                  0.0000000000000000E+000 
                                      95                  6.2874300482712913E+008                  1.9998071630206606E+000                 -1.2254054327311678E+001                  6.7406255913202857E+000                  2.9258256680493239E-001                  4.0431180964980271E+000                  1.6860695495930975E+000                  1.9057126563671296E+000                  4.1787626365340058E+000                  2.5420579998455199E-002                  7.4216942712790903E+000                  1.9586023612461416E+000                  1.7375577740583402E+001                  3.5087249090069550E-001                  6.4704788412149927E-001                  7.4598059315035659E-001                  2.5184029282398007E-001                  7.3529333333333335E+000                  1.3433491202863943E-005                  4.0438962954370936E+000                  7.4598008262843418E-001                  8.6840483822270615E+048                  1.9998071630206535E+000                  7.9631222794260247E+048                  9.1698271692307731E-001                  1.4329259581344320E+000                  6.8780231497295163E-001                  0.0000000000000000E+000 
                                      99                  6.4954750105715978E+008                  1.9997950878643278E+000                 -1.2225483925009938E+001                  6.7009406259670383E+000                  2.8514220739729579E-001                  4.0389367449540909E+000                  1.6991846761991385E+000                  1.9723213897092557E+000                  4.1489194814045769E+000                  2.5977001507571634E-002                  7.4252987719423791E+000                  1.9630340683104388E+000                  1.7373315837256850E+001                  3.2814424816322108E-001                  6.6977630513342645E-001                  7.4598059315035825E-001                  2.5184029282398129E-001                  7.6701999999999995E+000                  1.3742564312591620E-005                  4.0397353184035643E+000                  7.4598008262878723E-001                  8.5670292868810376E+048                  1.9997950878643318E+000                  7.6941008339505875E+048                  8.9810605010219902E-001                  1.4169635174681383E+000                  6.8710398699744502E-001                  0.0000000000000000E+000 
                                     100                  6.5445531365318441E+008                  1.9997921203427860E+000                 -1.2218494090596810E+001                  6.6908879709118780E+000                  2.8323224725120383E-001                  4.0378618923264495E+000                  1.7023354766696324E+000                  1.9893114857316168E+000                  4.1414686259678968E+000                  2.6116901849120314E-002                  7.4261882746172905E+000                  1.9641810764640308E+000                  1.7372796203382251E+001                  3.2257693469634674E-001                  6.7534366084048436E-001                  7.4598059315035714E-001                  2.5184029282398029E-001                  7.7482166666666661E+000                  1.3819947685248206E-005                  4.0386628752981606E+000                  7.4598008262887305E-001                  8.5378761012311208E+048                  1.9997921203427866E+000                  7.6283652513914836E+048                  8.9347340731397007E-001                  1.4094281549544370E+000                  6.8694605128216890E-001                  0.0000000000000000E+000 
                                     105                  6.7737967490821218E+008                  1.9997775952180421E+000                 -1.2184499724120290E+001                  6.6413086306044082E+000                  2.7391521024480903E-001                  4.0323224124250112E+000                  1.7173608750067673E+000                  2.0763207736253952E+000                  4.1042821535949185E+000                  2.6821779924089260E-002                  7.4305724849437080E+000                  1.9701122963599214E+000                  1.7370456371712450E+001                  2.9548925920920988E-001                  7.0243153519022294E-001                  7.4598059315035703E-001                  2.5184029282398129E-001                  8.1424666666666674E+000                  1.4203726687041441E-005                  4.0331489073262770E+000                  7.4598008262929427E-001                  8.3927979788124864E+048                  1.9997775952180450E+000                  7.3085885191744220E+048                  8.7081668564224501E-001                  1.3862473100392760E+000                  6.8624444451063416E-001                  0.0000000000000000E+000 
                                     110                  6.9782724216683114E+008                  1.9997636134469776E+000                 -1.2151990102621939E+001                  6.5914936344030988E+000                  2.6515749300228358E-001                  4.0265232671816049E+000                  1.7312341010510803E+000                  2.1668525158933392E+000                  4.0672093101256968E+000                  2.7537002167526199E-002                  7.4348734302287616E+000                  1.9764038300399269E+000                  1.7368586925363005E+001                  2.6964760612530314E-001                  7.2827337054765806E-001                  7.4598059315035259E-001                  2.5184029282397991E-001                  8.5450833333333343E+000                  1.4584525276586795E-005                  4.0273722788770812E+000                  7.4598008262970072E-001                  8.2490022028666431E+048                  1.9997636134469767E+000                  7.0031355900177669E+048                  8.4896759847925363E-001                  1.3864064531878726E+000                  6.8567129220086354E-001                  0.0000000000000000E+000 
                                     115                  7.1608295356824136E+008                  1.9997501860591822E+000                 -1.2120882775404532E+001                  6.5431868253864334E+000                  2.5697837437022664E-001                  4.0204849677794909E+000                  1.7440429393252623E+000                  2.2610510635438028E+000                  4.0302443581683969E+000                  2.8265778865491947E-002                  7.4391196816572789E+000                  1.9831038172655922E+000                  1.7367243296901069E+001                  2.4502631608105518E-001                  7.5289483064514973E-001                  7.4598059315035237E-001                  2.5184029282397996E-001                  8.9439999999999991E+000                  1.4963360044595148E-005                  4.0213529289392298E+000                  7.4598008263009452E-001                  8.1065204128377954E+048                  1.9997501860591895E+000                  6.7112850462446493E+048                  8.2788726907001953E-001                  1.3720884102303736E+000                  6.8520413550845649E-001                  0.0000000000000000E+000 
