                                       1                                        2                                        3                                        4                                        5                                        6                                        7 
                          version_number                                 compiler                                    build                         MESA_SDK_version                                     date                                burn_min1                                burn_min2 
                                   12115                               "gfortran"                                  "9.2.0"                  "x86_64-linux-20190830"                               "20211116"                  5.0000000000000000E+001                  1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29 
                            model_number                                 star_age                                star_mass                             log_abs_mdot                                   log_dt                           mass_conv_core                                 log_Teff                                    log_L                                   radius                                    log_g                   surf_avg_Lrad_div_Ledd                             log_center_T                           log_center_Rho                             log_center_P                                center_h1                               center_he4                               surface_h1                              surface_he4                          runtime_minutes                                 tau_wind                                    Tstar                              simple_dXdQ                       env_binding_energy                                     menv                                simple_eb                                   lambda                                     dxdq                                       x2                           max_gradr_hbot 
                                       1                  3.1250000000000005E+003                  3.9999999717842400E+000                 -1.1044358271537392E+001                  3.4948500216800937E+000                  1.0015517975715831E+000                  4.2848565464632573E+000                  2.5812543721384378E+000                  1.7545790099979599E+000                  4.5516034824869376E+000                  5.0466405327636722E-002                  7.4750603985999424E+000                  1.6470781680728037E+000                  1.7269659033671896E+001                  7.4594659194739177E-001                  2.5184543371310869E-001                  7.4598059315035781E-001                  2.5184029282398079E-001                  6.0933333333333332E-002                  1.1935246684819472E-004                  4.2854095796942415E+000                  7.4598008261975357E-001                  2.6579181573550589E+049                  3.9999999717842383E+000                  3.4602829322550002E+049                  1.3018771562546487E+000                  7.4599999189376831E-001                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       5                  1.1145000000000004E+004                  3.9999999014850696E+000                 -1.1082107061598821E+001                  3.2833012287035497E+000                  1.1736475188576230E+000                  4.2802190721057602E+000                  2.5552313141059484E+000                  1.7395477292099115E+000                  4.5590766354568055E+000                  4.9046627504693588E-002                  7.4735320358963957E+000                  1.6394957494873481E+000                  1.7260564221771389E+001                  7.4592989302612178E-001                  2.5185671016642958E-001                  7.4598059315035692E-001                  2.5184029282398079E-001                  3.0203333333333332E-001                  1.1303987489566128E-004                  4.2807631547975360E+000                  7.4598008261975535E-001                  2.6410014558289071E+049                  3.9999999014850598E+000                  3.4901828137485379E+049                  1.3215376334024420E+000                  7.4599999189376831E-001                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                      10                  2.8290446400000004E+004                  3.9999997679715635E+000                 -1.1123318691035026E+001                  3.6792074589416734E+000                  9.8530980926636236E-001                  4.2786685624556853E+000                  2.5361540920572234E+000                  1.7139524042244869E+000                  4.5719518044091831E+000                  4.7878183937599531E-002                  7.4756447557309329E+000                  1.6482439101796804E+000                  1.7271401680330229E+001                  7.4589660171425776E-001                  2.5189092902550531E-001                  7.4598059315035692E-001                  2.5184029282398063E-001                  5.8019999999999994E-001                  1.0642793699994233E-004                  4.2791992108077235E+000                  7.4598008261975590E-001                  2.6571113318780417E+049                  3.9999997679715662E+000                  3.5423032564477367E+049                  1.3331406983026348E+000                  7.4599999189376831E-001                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                      15                  7.0953803586048016E+004                  3.9999994692233996E+000                 -1.1168483755467687E+001                  4.0751136891797977E+000                  1.0040963696782037E+000                  4.2770229383687308E+000                  2.5180293315912525E+000                  1.6913271697903265E+000                  4.5834940360911647E+000                  4.6734609223468532E-002                  7.4777441500814383E+000                  1.6537847105312040E+000                  1.7279030725958886E+001                  7.4580237917459169E-001                  2.5198786451550070E-001                  7.4598059315035614E-001                  2.5184029282398029E-001                  8.5784999999999989E-001                  9.9029813722479701E-005                  4.2775462862259852E+000                  7.4598008261975923E-001                  2.6704581842165620E+049                  3.9999994692233871E+000                  3.5896888457912796E+049                  1.3442220765738724E+000                  7.4599999189376842E-001                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                      20                  1.7711388853923493E+005                  3.9999987854583514E+000                 -1.1202604088104550E+001                  4.4710199194179214E+000                  1.0525054020978408E+000                  4.2740493595568783E+000                  2.5044209498719376E+000                  1.6879928094450731E+000                  4.5852080283242058E+000                  4.5829177837941840E-002                  7.4760550212602475E+000                  1.6454310249355224E+000                  1.7268933919547628E+001                  7.4556139035583713E-001                  2.5223491210150606E-001                  7.4598059315035725E-001                  2.5184029282398035E-001                  1.1437833333333332E+000                  9.2840702094262501E-005                  4.2745676398945038E+000                  7.4598008261976934E-001                  2.6585989687692359E+049                  3.9999987854583550E+000                  3.5967784734174845E+049                  1.3528849276137975E+000                  7.4599999189376831E-001                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                      25                  4.4127415112994896E+005                  3.9999971690643270E+000                 -1.1214621881909633E+001                  4.8669261496560452E+000                  1.0438234597784812E+000                  4.2708555682695861E+000                  2.5032192829045217E+000                  1.7106349519970341E+000                  4.5736343546446152E+000                  4.5456473980496459E-002                  7.4711365428004424E+000                  1.6309396572816688E+000                  1.7249309720588091E+001                  7.4496263182792233E-001                  2.5284533359082439E-001                  7.4598059315035659E-001                  2.5184029282398057E-001                  1.5041000000000000E+000                  8.8917245575319251E-005                  4.2713800588365558E+000                  7.4598008261979243E-001                  2.6276465254643738E+049                  3.9999971690643088E+000                  3.5491682701627380E+049                  1.3507023245965351E+000                  7.4599999189376831E-001                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                      30                  1.0985894157396746E+006                  3.9999931583182069E+000                 -1.1214811962334666E+001                  5.2628323798941699E+000                  1.0362423694639094E+000                  4.2673073578358434E+000                  2.5046459194822002E+000                  1.7416748496099066E+000                  4.5580144408702106E+000                  4.5358152208939774E-002                  7.4652378015946139E+000                  1.6132793373833407E+000                  1.7225262175580674E+001                  7.4349307054808356E-001                  2.5433411048140542E-001                  7.4598059315035836E-001                  2.5184029282398068E-001                  1.8731333333333333E+000                  8.6822765768198367E-005                  4.2678391283872559E+000                  7.4598008261984727E-001                  2.5896137431674704E+049                  3.9999931583182309E+000                  3.4859084745539027E+049                  1.3461113587890272E+000                  7.4599999189376842E-001                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                      35                  2.6803301954405066E+006                  3.9999834299064769E+000                 -1.1208000761621404E+001                  5.6297993308666507E+000                  1.0309764371406605E+000                  4.2634755559096664E+000                  2.5065674732903713E+000                  1.7766073777464841E+000                  4.5407646231053596E+000                  4.5271932169490409E-002                  7.4594100037694124E+000                  1.5947196277720579E+000                  1.7199746970654004E+001                  7.3998205452185140E-001                  2.5787162574337857E-001                  7.4598059315035647E-001                  2.5184029282398007E-001                  2.2494999999999998E+000                  8.5933709581898060E-005                  4.2640159735809782E+000                  7.4598008261998972E-001                  2.5491189572686943E+049                  3.9999834299064445E+000                  3.4173502046990669E+049                  1.3406005219782511E+000                  7.4599999189376831E-001                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                      40                  6.1057693940236121E+006                  3.9999618343044170E+000                 -1.1195831642489907E+001                  5.9514700515372629E+000                  1.0250035270075155E+000                  4.2601754282327162E+000                  2.5113720407296678E+000                  1.8138192233291366E+000                  4.5227572002295187E+000                  4.5338678697392151E-002                  7.4551594736564422E+000                  1.5789966883071243E+000                  1.7177349009620354E+001                  7.3234487418505390E-001                  2.6553727983450476E-001                  7.4598059315035736E-001                  2.5184029282398068E-001                  2.6173333333333333E+000                  8.5812710425053296E-005                  4.2607219415883515E+000                  7.4598008262030313E-001                  2.5117087625783367E+049                  3.9999618343044117E+000                  3.3472045897699841E+049                  1.3326404078528549E+000                  7.4599999189376831E-001                  0.0000000000000000E+000                  0.0000000000000000E+000 
