                                       1                                        2                                        3                                        4                                        5                                        6                                        7 
                          version_number                                 compiler                                    build                         MESA_SDK_version                                     date                                burn_min1                                burn_min2 
                                   12115                               "gfortran"                                  "9.2.0"                  "x86_64-linux-20190830"                               "20211029"                  5.0000000000000000E+001                  1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30 
                            model_number                                 star_age                                star_mass                             log_abs_mdot                                   log_dt                           mass_conv_core                                 log_Teff                                    log_L                                   radius                                    log_g            surf_avg_omega_div_omega_crit                           surf_avg_v_rot                             log_center_T                           log_center_Rho                             log_center_P                                center_h1                               center_he4                               surface_h1                              surface_he4                          runtime_minutes                              period_days                        binary_separation                                  v_orb_1                                  v_orb_2                                     rl_1                                     rl_2                   rl_relative_overflow_1                   rl_relative_overflow_2                        lg_mtransfer_rate                                    J_orb 
                                       1                  2.4392420598661126E+000                  7.0000000000000000E+001                 -9.8999999999999986E+001                  3.8725489996435847E-001                  5.1663548073078672E+001                  4.7093873343997155E+000                  5.8098816308253722E+000                  1.0219390228888715E+001                  4.2641374272956210E+000                  6.0059163712923336E-001                  4.8318738513611873E+002                  7.6492229510012653E+000                  4.1022207047995973E-001                  1.6416227670171200E+001                  7.5141365488652045E-001                  2.4824600508230574E-001                  7.5141399999999936E-001                  2.4824599999999994E-001                  5.3603333333333336E-001                  1.1000000000000001E+000                  2.2998163663684199E+001                  5.0949854584379392E+002                  5.4869074167793190E+002                  8.8624019753223138E+000                  8.5673408513620171E+000                  1.5311743445456261E-001                  1.4043651521719028E-001                 -9.8999999999999986E+001                  1.1355580996771243E+055 
                                       2                  5.3663325317054476E+000                  7.0000000000000000E+001                 -9.8999999999999986E+001                  4.6643614601198324E-001                  5.1653007931980206E+001                  4.7093922820818817E+000                  5.8098886522252400E+000                  1.0219239992355497E+001                  4.2641501966244162E+000                  6.0059892884129695E-001                  4.8319523285203161E+002                  7.6492322259435905E+000                  4.1025028719251683E-001                  1.6416264980548473E+001                  7.5141328854199196E-001                  2.4824601129475296E-001                  7.5141399999999936E-001                  2.4824599999999994E-001                  5.4211666666666669E-001                  1.1000000000000001E+000                  2.2998163663684199E+001                  5.0949854584379392E+002                  5.4869074167793190E+002                  8.8624019753223138E+000                  8.5673408513620171E+000                  1.5310048233101461E-001                  1.4042234643923482E-001                 -9.8999999999999986E+001                  1.1355580996771243E+055 
                                       3                  8.8788410979126500E+000                  7.0000000000000000E+001                 -9.8999999999999986E+001                  5.4561739205960802E-001                  5.1630894995159153E+001                  4.7094005438980746E+000                  5.8098976995284017E+000                  1.0218957628672177E+001                  4.2641741965860254E+000                  6.0060508555312508E-001                  4.8320578222875963E+002                  7.6492490387846610E+000                  4.1030179647635862E-001                  1.6416332896950937E+001                  7.5141286888201586E-001                  2.4824601952271633E-001                  7.5141399999999936E-001                  2.4824599999999994E-001                  5.4718333333333335E-001                  1.1000000000000001E+000                  2.2998163663684199E+001                  5.0949854584379392E+002                  5.4869074167793190E+002                  8.8624019753223138E+000                  8.5673408513620171E+000                  1.5306862147838049E-001                  1.4039402193160433E-001                 -9.8999999999999986E+001                  1.1355580996771243E+055 
                                       4                  1.3093851377361291E+001                  7.0000000000000000E+001                 -9.8999999999999986E+001                  6.2479863810723291E-001                  5.1593301444309496E+001                  4.7094146106591754E+000                  5.8099120847187367E+000                  1.0218464900130005E+001                  4.2642160784400955E+000                  6.0061232893506000E-001                  4.8322110326407176E+002                  7.6492777177452860E+000                  4.1038957558561845E-001                  1.6416448754105783E+001                  7.5141239127748682E-001                  2.4824603046834978E-001                  7.5141399999999936E-001                  2.4824599999999994E-001                  5.5233333333333334E-001                  1.1000000000000001E+000                  2.2998163663684199E+001                  5.0949854584379392E+002                  5.4869074167793190E+002                  8.8624019753223138E+000                  8.5673408513620171E+000                  1.5301302384880505E-001                  1.4034504554215799E-001                 -9.8999999999999986E+001                  1.1355580996771243E+055 
                                       5                  1.8151863712699662E+001                  7.0000000000000000E+001                 -9.8999999999999986E+001                  7.0397988415485768E-001                  5.1533721193402876E+001                  4.7094367727478605E+000                  5.8099337015067913E+000                  1.0217676341547774E+001                  4.2642831100067777E+000                  6.0062532216369069E-001                  4.8324673532528726E+002                  7.6493236633311747E+000                  4.1053006016715227E-001                  1.6416634332086943E+001                  7.5141185292162338E-001                  2.4824604505974976E-001                  7.5141399999999936E-001                  2.4824599999999994E-001                  5.5784999999999996E-001                  1.1000000000000001E+000                  2.2998163663684199E+001                  5.0949854584379392E+002                  5.4869074167793190E+002                  8.8624019753223138E+000                  8.5673408513620171E+000                  1.5292404587371139E-001                  1.4026647050037097E-001                 -9.8999999999999986E+001                  1.1355580996771243E+055 
                                       6                  2.4221478515105705E+001                  7.0000000000000000E+001                 -9.8999999999999986E+001                  7.8316113020248257E-001                  5.1462968763984719E+001                  4.7094718748182132E+000                  5.8099688425831282E+000                  1.0216438102171759E+001                  4.2643883772118558E+000                  6.0061941802217667E-001                  4.8326552745046956E+002                  7.6493942797762040E+000                  4.1074572098787437E-001                  1.6416919453242095E+001                  7.5141125282993593E-001                  2.4824606453279857E-001                  7.5141399999999936E-001                  2.4824599999999994E-001                  5.6276666666666664E-001                  1.1000000000000001E+000                  2.2998163663684199E+001                  5.0949854584379392E+002                  5.4869074167793190E+002                  8.8624019753223138E+000                  8.5673408513620171E+000                  1.5278432761454608E-001                  1.4014416650465616E-001                 -9.8999999999999986E+001                  1.1355580996771243E+055 
                                       7                  3.1505016277992958E+001                  7.0000000000000000E+001                 -9.8999999999999986E+001                  8.6234237625010735E-001                  5.1363795048069228E+001                  4.7095255353982157E+000                  5.8100233423106475E+000                  1.0214554661168414E+001                  4.2645485198043449E+000                  6.0058744907109418E-001                  4.8327492496820395E+002                  7.6494995439098981E+000                  4.1106672543789324E-001                  1.6417344232920840E+001                  7.5141059291893708E-001                  2.4824609050651542E-001                  7.5141399999999936E-001                  2.4824599999999994E-001                  5.6769999999999998E-001                  1.1000000000000001E+000                  2.2998163663684199E+001                  5.0949854584379392E+002                  5.4869074167793190E+002                  8.8624019753223138E+000                  8.5673408513620171E+000                  1.5257180723817526E-001                  1.3995837601157901E-001                 -9.8999999999999986E+001                  1.1355580996771243E+055 
                                       8                  4.0245261593457663E+001                  7.0000000000000000E+001                 -9.8999999999999986E+001                  9.4152362229773223E-001                  5.1190384616413986E+001                  4.7096049774303648E+000                  5.8101047852298420E+000                  1.0211775868775741E+001                  4.2647848450137449E+000                  6.0050937625041023E-001                  4.8326284552936448E+002                  7.6496523186729100E+000                  4.1153218091631860E-001                  1.6417960519888140E+001                  7.5140987285549987E-001                  2.4824612540703092E-001                  7.5141399999999936E-001                  2.4824599999999994E-001                  5.7338333333333336E-001                  1.1000000000000001E+000                  2.2998163663684199E+001                  5.0949854584379392E+002                  5.4869074167793190E+002                  8.8624019753223138E+000                  8.5673408513620171E+000                  1.5225825878929972E-001                  1.3968369498638783E-001                 -9.8999999999999986E+001                  1.1355580996771243E+055 
                                       9                  5.0733555972015310E+001                  7.0000000000000000E+001                 -9.8999999999999986E+001                  1.0207048683453570E+000                  5.0996234093080560E+001                  4.7097200722939654E+000                  5.8102235887359859E+000                  1.0207760838183320E+001                  4.2651264209620052E+000                  6.0035929734883242E-001                  4.8321398627751631E+002                  7.6498695612996572E+000                  4.1219326187672667E-001                  1.6418836430814277E+001                  7.5140910654973969E-001                  2.4824617186420841E-001                  7.5141399999999936E-001                  2.4824599999999994E-001                  5.7911666666666661E-001                  1.1000000000000001E+000                  2.2998163663684199E+001                  5.0949854584379392E+002                  5.4869074167793190E+002                  8.8624019753223138E+000                  8.5673408513620171E+000                  1.5180521788643836E-001                  1.3928601946021954E-001                 -9.8999999999999986E+001                  1.1355580996771243E+055 
