                                       1                                        2                                        3                                        4                                        5                                        6                                        7 
                          version_number                                 compiler                                    build                         MESA_SDK_version                                     date                                burn_min1                                burn_min2 
                                   12115                               "gfortran"                                  "9.2.0"                  "x86_64-linux-20190830"                               "20211029"                  5.0000000000000000E+001                  1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30 
                            model_number                                 star_age                                star_mass                             log_abs_mdot                                   log_dt                           mass_conv_core                                 log_Teff                                    log_L                                   radius                                    log_g            surf_avg_omega_div_omega_crit                           surf_avg_v_rot                             log_center_T                           log_center_Rho                             log_center_P                                center_h1                               center_he4                               surface_h1                              surface_he4                          runtime_minutes                              period_days                        binary_separation                                  v_orb_1                                  v_orb_2                                     rl_1                                     rl_2                   rl_relative_overflow_1                   rl_relative_overflow_2                        lg_mtransfer_rate                                    J_orb 
                                      10                  6.3319509226284481E+001                  6.5000000000000000E+001                 -9.8999999999999986E+001                  1.0998861143929819E+000                  4.6221249044827999E+001                  4.7048495931532033E+000                  5.7514100740900380E+000                  9.7558404067870903E+000                  4.2722733356735025E+000                  5.7353999930275290E-001                  4.6113396801344368E+002                  7.6466233209538004E+000                  4.3042274921323659E-001                  1.6423317753542509E+001                  7.5140847908753472E-001                  2.4824621639524441E-001                  7.5141400000000047E-001                  2.4824600000000022E-001                  5.8515000000000006E-001                  1.1000000000000001E+000                  2.2998163663684199E+001                  5.0949854584379392E+002                  5.4869074167793190E+002                  8.8624019753223138E+000                  8.5673408513620171E+000                  1.5116634180259342E-001                  1.3872443924489455E-001                 -9.8999999999999986E+001                  1.1355580996771243E+055 
                                      11                  7.8422653131407486E+001                  6.5000000000000000E+001                 -9.8999999999999986E+001                  1.1790673604406066E+000                  4.5904971559662549E+001                  4.7050538143422420E+000                  5.7516321147071778E+000                  9.7491615079635405E+000                  4.2728681798125194E+000                  5.7323020797956992E-001                  4.6100258746317360E+002                  7.6470029622183135E+000                  4.3157997430747369E-001                  1.6424850539100394E+001                  7.5140766859025743E-001                  2.4824629217761943E-001                  7.5141400000000047E-001                  2.4824600000000022E-001                  5.9131666666666660E-001                  1.1000000000000001E+000                  2.2998163663684199E+001                  5.0949854584379392E+002                  5.4869074167793190E+002                  8.8624019753223138E+000                  8.5673408513620171E+000                  1.5028250604519541E-001                  1.3794486260152009E-001                 -9.8999999999999986E+001                  1.1355580996771243E+055 
                                      12                  9.6546425817555090E+001                  6.5000000000000000E+001                 -9.8999999999999986E+001                  1.2582486064882312E+000                  4.5549595421724803E+001                  4.7053320117920245E+000                  5.7519345056243916E+000                  9.7400697219113876E+000                  4.2736785786944358E+000                  5.7272537409089475E-001                  4.6075467351476465E+002                  7.6475141648790288E+000                  4.3313714181491064E-001                  1.6426913795482729E+001                  7.5140685078507530E-001                  2.4824639306617224E-001                  7.5141400000000047E-001                  2.4824600000000024E-001                  5.9731666666666661E-001                  1.1000000000000001E+000                  2.2998163663684199E+001                  5.0949854584379392E+002                  5.4869074167793190E+002                  8.8624019753223138E+000                  8.5673408513620171E+000                  1.4908367136828979E-001                  1.3688364813487408E-001                 -9.8999999999999986E+001                  1.1355580996771243E+055 
                                      13                  1.1829495304093223E+002                  6.5000000000000000E+001                 -9.8999999999999986E+001                  1.3374298525358561E+000                  4.5003169425355139E+001                  4.7057037156382773E+000                  5.7523375103666519E+000                  9.7279238066851779E+000                  4.2747623893371838E+000                  5.7204417759203441E-001                  4.6041535814623757E+002                  7.6481908676743116E+000                  4.3519737950709159E-001                  1.6429644273588707E+001                  7.5140604321572901E-001                  2.4824652782310749E-001                  7.5141400000000058E-001                  2.4824600000000024E-001                  6.0346666666666660E-001                  1.1000000000000001E+000                  2.2998163663684199E+001                  5.0949854584379392E+002                  5.4869074167793190E+002                  8.8624019753223138E+000                  8.5673408513620171E+000                  1.4749094261807461E-001                  1.3546594858994726E-001                 -9.8999999999999986E+001                  1.1355580996771243E+055 
                                      14                  1.3852193894655952E+002                  6.5000000000000000E+001                 -9.8999999999999986E+001                  1.3059311718425379E+000                  4.4381461839771774E+001                  4.7060897191773927E+000                  5.7527621355461598E+000                  9.7153950763376447E+000                  4.2758817783141394E+000                  5.7119514981071096E-001                  4.5993485449104679E+002                  7.6488725762442460E+000                  4.3726782529535679E-001                  1.6432391640165257E+001                  7.5140541723859078E-001                  2.4824666351292418E-001                  7.5141400000000036E-001                  2.4824600000000024E-001                  6.0919999999999996E-001                  1.1000000000000001E+000                  2.2998163663684199E+001                  5.0949854584379392E+002                  5.4869074167793190E+002                  8.8624019753223138E+000                  8.5673408513620171E+000                  1.4584339795939461E-001                  1.3400356597147794E-001                 -9.8999999999999986E+001                  1.1355580996771243E+055 
                                      15                  1.5495464835193542E+002                  6.5000000000000000E+001                 -9.8999999999999986E+001                  1.2157091752910494E+000                  4.3745165151263230E+001                  4.7064314902214655E+000                  5.7531426087088624E+000                  9.7043658388395198E+000                  4.2768683893277277E+000                  5.7038754001717873E-001                  4.5944637326825324E+002                  7.6494577128507659E+000                  4.3904113281388518E-001                  1.6434747270367250E+001                  7.5140497608172452E-001                  2.4824678065441419E-001                  7.5141400000000047E-001                  2.4824600000000024E-001                  6.1539999999999995E-001                  1.1000000000000001E+000                  2.2998163663684199E+001                  5.0949854584379392E+002                  5.4869074167793190E+002                  8.8624019753223138E+000                  8.5673408513620171E+000                  1.4438633825933433E-001                  1.3271620765464712E-001                 -9.8999999999999986E+001                  1.1355580996771243E+055 
                                      16                  1.6925399848526897E+002                  6.5000000000000000E+001                 -9.8999999999999986E+001                  1.1553163004076843E+000                  4.3225552306110281E+001                  4.7067401760679646E+000                  5.7534836663923956E+000                  9.6943862129477942E+000                  4.2777620750301919E+000                  5.6960835045343861E-001                  4.5895546943613863E+002                  7.6499827700348897E+000                  4.4063205601570499E-001                  1.6436860745849923E+001                  7.5140463276252722E-001                  2.4824688862093489E-001                  7.5141400000000058E-001                  2.4824600000000024E-001                  6.2124999999999997E-001                  1.1000000000000001E+000                  2.2998163663684199E+001                  5.0949854584379392E+002                  5.4869074167793190E+002                  8.8624019753223138E+000                  8.5673408513620171E+000                  1.4307053480080018E-001                  1.3155136245181639E-001                 -9.8999999999999986E+001                  1.1355580996771243E+055 
                                      17                  1.8220787903982324E+002                  6.5000000000000000E+001                 -9.8999999999999986E+001                  1.1123998881835899E+000                  4.2833891521310633E+001                  4.7070262644033480E+000                  5.7537972792655836E+000                  9.6851186891694017E+000                  4.2785928154985378E+000                  5.6891336246214008E-001                  4.5851868370228698E+002                  7.6504687427971803E+000                  4.4210467565978362E-001                  1.6438816895669614E+001                  7.5140435281243378E-001                  2.4824699038193399E-001                  7.5141400000000047E-001                  2.4824600000000024E-001                  6.2698333333333334E-001                  1.1000000000000001E+000                  2.2998163663684199E+001                  5.0949854584379392E+002                  5.4869074167793190E+002                  8.8624019753223138E+000                  8.5673408513620171E+000                  1.4185173667561310E-001                  1.3046963546800910E-001                 -9.8999999999999986E+001                  1.1355580996771243E+055 
                                      18                  1.9428323129860743E+002                  6.5000000000000000E+001                 -9.8999999999999986E+001                  1.0818998087249778E+000                  4.2356166294815928E+001                  4.7072963895247604E+000                  5.7540908237891211E+000                  9.6763477853990114E+000                  4.2793797714606496E+000                  5.6824048839446650E-001                  4.5809235930018480E+002                  7.6509290213230701E+000                  4.4349970166895281E-001                  1.6440669717690060E+001                  7.5140411427382214E-001                  2.4824708885911007E-001                  7.5141399999999992E-001                  2.4824600000000024E-001                  6.3298333333333334E-001                  1.1000000000000001E+000                  2.2998163663684199E+001                  5.0949854584379392E+002                  5.4869074167793190E+002                  8.8624019753223138E+000                  8.5673408513620171E+000                  1.4070165523085462E-001                  1.2944587512946776E-001                 -9.8999999999999986E+001                  1.1355580996771243E+055 
                                      19                  2.0577882115485335E+002                  6.5000000000000000E+001                 -9.8999999999999986E+001                  1.0605312604891897E+000                  4.1978339467480659E+001                  4.7075562945216118E+000                  5.7543716896545609E+000                  9.6678987223483066E+000                  4.2801385255826148E+000                  5.6758278562460773E-001                  4.5767483056371492E+002                  7.6513724794181917E+000                  4.4484408242117846E-001                  1.6442454975927546E+001                  7.5140390484495723E-001                  2.4824718569110268E-001                  7.5141400000000003E-001                  2.4824600000000024E-001                  6.3876666666666670E-001                  1.1000000000000001E+000                  2.2998163663684199E+001                  5.0949854584379392E+002                  5.4869074167793190E+002                  8.8624019753223138E+000                  8.5673408513620171E+000                  1.3959679052410395E-001                  1.2845968079013989E-001                 -9.8999999999999986E+001                  1.1355580996771243E+055 
