                               1                                2                                3                                4                                5                                6                                7                                8 
                  version_number                 initial_don_mass                 initial_acc_mass              initial_period_days                         compiler                            build                 MESA_SDK_version                             date 
                           12115          7.0000000000000000E+001          6.5000000000000000E+001          1.1000000000000001E+000                       "gfortran"                          "9.2.0"          "x86_64-linux-20190830"                       "20211029" 

                               1                                2                                3                                4                                5                                6                                7                                8                                9                               10 
                     period_days                binary_separation                          v_orb_1                          v_orb_2                             rl_1                             rl_2           rl_relative_overflow_1           rl_relative_overflow_2                lg_mtransfer_rate                            J_orb 
         1.1000000000000001E+000          2.2998163663684199E+001          5.0949854584379392E+002          5.4869074167793190E+002          8.8624019753223138E+000          8.5673408513620171E+000          1.5292404587371139E-001          1.4026647050037097E-001         -9.8999999999999986E+001          1.1355580996771243E+055 
         1.1000000000000001E+000          2.2998163663684199E+001          5.0949854584379392E+002          5.4869074167793190E+002          8.8624019753223138E+000          8.5673408513620171E+000          1.5116634180259342E-001          1.3872443924489455E-001         -9.8999999999999986E+001          1.1355580996771243E+055 
         1.1000000000000001E+000          2.2998163663684199E+001          5.0949854584379392E+002          5.4869074167793190E+002          8.8624019753223138E+000          8.5673408513620171E+000          1.4438633825933433E-001          1.3271620765464712E-001         -9.8999999999999986E+001          1.1355580996771243E+055 
         1.1000000000000001E+000          2.2998163663684199E+001          5.0949854584379392E+002          5.4869074167793190E+002          8.8624019753223138E+000          8.5673408513620171E+000          1.3852267741652050E-001          1.2749818827845866E-001         -9.8999999999999986E+001          1.1355580996771243E+055 
         1.1000000000000001E+000          2.2998163663684199E+001          5.0949854584379392E+002          5.4869074167793190E+002          8.8624019753223138E+000          8.5673408513620171E+000          1.3336734707039669E-001          1.2286076339617559E-001         -9.8999999999999986E+001          1.1355580996771243E+055 
         1.1000000000000001E+000          2.2998163663684199E+001          5.0949854584379392E+002          5.4869074167793190E+002          8.8624019753223138E+000          8.5673408513620171E+000          1.2833765923038301E-001          1.1831001420426142E-001         -9.8999999999999986E+001          1.1355580996771243E+055 
         1.1000000000000001E+000          2.2998163663684199E+001          5.0949854584379392E+002          5.4869074167793190E+002          8.8624019753223138E+000          8.5673408513620171E+000          1.2334561770623971E-001          1.1377367862507863E-001         -9.8999999999999986E+001          1.1355580996771243E+055 
         1.1000000000000001E+000          2.2998163663684199E+001          5.0949854584379392E+002          5.4869074167793190E+002          8.8624019753223138E+000          8.5673408513620171E+000          1.1836658985482833E-001          1.0923838710426988E-001         -9.8999999999999986E+001          1.1355580996771243E+055 
         1.1000000000000001E+000          2.2998163663684199E+001          5.0949854584379392E+002          5.4869074167793190E+002          8.8624019753223138E+000          8.5673408513620171E+000          1.1339531297687758E-001          1.0470071666395606E-001         -9.8999999999999986E+001          1.1355580996771243E+055 
         1.1000000000000001E+000          2.2998163663684199E+001          5.0949854584379392E+002          5.4869074167793190E+002          8.8624019753223138E+000          8.5673408513620171E+000          1.0842763112295106E-001          1.0015534350839816E-001         -9.8999999999999986E+001          1.1355580996771243E+055 
         1.1000000000000001E+000          2.2998163663684199E+001          5.0949854584379392E+002          5.4869074167793190E+002          8.8624019753223138E+000          8.5673408513620171E+000          1.0346147259305133E-001          9.5603835312360455E-002         -9.8999999999999986E+001          1.1355580996771243E+055 
         1.1000000000000001E+000          2.2998163663684199E+001          5.0949854584379392E+002          5.4869074167793190E+002          8.8624019753223138E+000          8.5673408513620171E+000          9.8498292668085380E-002          9.1041864598593258E-002         -9.8999999999999986E+001          1.1355580996771243E+055 
         1.1000000000000001E+000          2.2998163663684199E+001          5.0949854584379392E+002          5.4869074167793190E+002          8.8624019753223138E+000          8.5673408513620171E+000          9.3535125474929370E-002          8.6471447110520433E-002         -9.8999999999999986E+001          1.1355580996771243E+055 
         1.1000000000000001E+000          2.2998163663684199E+001          5.0949854584379392E+002          5.4869074167793190E+002          8.8624019753223138E+000          8.5673408513620171E+000          8.8574021502890163E-002          8.1892623603335407E-002         -9.8999999999999986E+001          1.1355580996771243E+055 
         1.1000000000000001E+000          2.2998163663684199E+001          5.0949854584379392E+002          5.4869074167793190E+002          8.8624019753223138E+000          8.5673408513620171E+000          8.3617536857445815E-002          7.7306041158651764E-002         -9.8999999999999986E+001          1.1355580996771243E+055 
         1.1000000000000001E+000          2.2998163663684199E+001          5.0949854584379392E+002          5.4869074167793190E+002          8.8624019753223138E+000          8.5673408513620171E+000          7.8658890753242186E-002          7.2706015141332056E-002         -9.8999999999999986E+001          1.1355580996771243E+055 
         1.1000000000000001E+000          2.2998163663684199E+001          5.0949854584379392E+002          5.4869074167793190E+002          8.8624019753223138E+000          8.5673408513620171E+000          7.3704921320072073E-002          6.8096121450903574E-002         -9.8999999999999986E+001          1.1355580996771243E+055 
         1.1000000000000001E+000          2.2998163663684199E+001          5.0949854584379392E+002          5.4869074167793190E+002          8.8624019753223138E+000          8.5673408513620171E+000          6.8754494333271327E-002          6.3477391105431435E-002         -9.8999999999999986E+001          1.1355580996771243E+055 
         1.1000000000000001E+000          2.2998163663684199E+001          5.0949854584379392E+002          5.4869074167793190E+002          8.8624019753223138E+000          8.5673408513620171E+000          6.3808751067964131E-002          5.8840402039899938E-002         -9.8999999999999986E+001          1.1355580996771243E+055 
         1.1000000000000001E+000          2.2998163663684199E+001          5.0949854584379392E+002          5.4869074167793190E+002          8.8624019753223138E+000          8.5673408513620171E+000          5.8866802737694991E-002          5.4196608851330715E-002         -9.8999999999999986E+001          1.1355580996771243E+055 
         1.1000000000000001E+000          2.2998163663684199E+001          5.0949854584379392E+002          5.4869074167793190E+002          8.8624019753223138E+000          8.5673408513620171E+000          5.3930608875208869E-002          4.9537919818989855E-002         -9.8999999999999986E+001          1.1355580996771243E+055 
         1.1000000000000001E+000          2.2998163663684199E+001          5.0949854584379392E+002          5.4869074167793190E+002          8.8624019753223138E+000          8.5673408513620171E+000          4.9000658385718619E-002          4.4862785849361861E-002         -9.8999999999999986E+001          1.1355580996771243E+055 
         1.1000000000000001E+000          2.2998163663684199E+001          5.0949854584379392E+002          5.4869074167793190E+002          8.8624019753223138E+000          8.5673408513620171E+000          4.4077133219689660E-002          4.0171767671787484E-002         -9.8999999999999986E+001          1.1355580996771243E+055 
         1.1000000000000001E+000          2.2998163663684199E+001          5.0949854584379392E+002          5.4869074167793190E+002          8.8624019753223138E+000          8.5673408513620171E+000          3.9162180225899783E-002          3.5466186181512337E-002         -9.8999999999999986E+001          1.1355580996771243E+055 
         1.1000000000000001E+000          2.2998163663684199E+001          5.0949854584379392E+002          5.4869074167793190E+002          8.8624019753223138E+000          8.5673408513620171E+000          3.4256899481496593E-002          3.0736604185833075E-002         -9.8999999999999986E+001          1.1355580996771243E+055 
         1.1000000000000001E+000          2.2998163663684199E+001          5.0949854584379392E+002          5.4869074167793190E+002          8.8624019753223138E+000          8.5673408513620171E+000          2.9362027789591259E-002          2.5987463179550620E-002         -9.8999999999999986E+001          1.1355580996771243E+055 
         1.1000000000000001E+000          2.2998163663684199E+001          5.0949854584379392E+002          5.4869074167793190E+002          8.8624019753223138E+000          8.5673408513620171E+000          2.4480571124330025E-002          2.1213278956975844E-002         -9.8999999999999986E+001          1.1355580996771243E+055 
         1.1000000000000001E+000          2.2998163663684199E+001          5.0949854584379392E+002          5.4869074167793190E+002          8.8624019753223138E+000          8.5673408513620171E+000          1.9612411437370202E-002          1.6413658552581367E-002         -9.8999999999999986E+001          1.1355580996771243E+055 
         1.1000000000000001E+000          2.2998163663684199E+001          5.0949854584379392E+002          5.4869074167793190E+002          8.8624019753223138E+000          8.5673408513620171E+000          1.4761620851636644E-002          1.1585769630738480E-002         -9.8999999999999986E+001          1.1355580996771243E+055 
         1.1000000000000001E+000          2.2998163663684199E+001          5.0949854584379392E+002          5.4869074167793190E+002          8.8624019753223138E+000          8.5673408513620171E+000          9.9508581566967978E-003          6.7412408417008088E-003         -9.8999999999999986E+001          1.1355580996771243E+055 
         1.1000000000000001E+000          2.2998163663684199E+001          5.0949854584379392E+002          5.4869074167793190E+002          8.8624019753223138E+000          8.5673408513620171E+000          5.1965951549219746E-003          1.9064464019494900E-003         -9.8999999999999986E+001          1.1355580996771243E+055 
         1.1000000000000001E+000          2.2998163663684199E+001          5.0949854584379392E+002          5.4869074167793190E+002          8.8624019753223138E+000          8.5673408513620171E+000          5.0901209125123192E-004         -2.9088117525704320E-003         -9.8999999999999986E+001          1.1355580996771243E+055 
         1.1000000000000001E+000          2.2998163663684199E+001          5.0949854584379392E+002          5.4869074167793190E+002          8.8624019753223138E+000          8.5673408513620171E+000         -4.0894304185182953E-003         -7.7004618284537739E-003         -9.8999999999999986E+001          1.1355580996771243E+055 
         1.1000000000000001E+000          2.2998163663684199E+001          5.0949854584379392E+002          5.4869074167793190E+002          8.8624019753223138E+000          8.5673408513620171E+000         -8.6304806300475691E-003         -1.2509906581838832E-002         -9.8999999999999986E+001          1.1355580996771243E+055 
         1.1000000000000001E+000          2.2998163663684199E+001          5.0949854584379392E+002          5.4869074167793190E+002          8.8624019753223138E+000          8.5673408513620171E+000         -1.3456386794674221E-002         -1.7717284186277646E-002         -9.8999999999999986E+001          1.1355580996771243E+055 
         1.1000000000000001E+000          2.2998163663684199E+001          5.0949854584379392E+002          5.4869074167793190E+002          8.8624019753223138E+000          8.5673408513620171E+000         -1.9724980431039939E-002         -2.4682023072552708E-002         -9.8999999999999986E+001          1.1355580996771243E+055 
         1.1002457860553889E+000          2.3001585732684241E+001          5.0946053565913809E+002          5.4864978162482976E+002          8.8637205836063266E+000          8.5686157440295521E+000         -2.7766591585555750E-002         -3.4138694938373904E-002         -9.8999999999999986E+001          1.1356417742303720E+055 
         1.0987733057527087E+000          2.2981027406770519E+001          5.0968742790464523E+002          5.4889389292330975E+002          8.8557975263786144E+000          8.5609581423835905E+000         -3.0300761674679717E-002         -3.9269730312043089E-002         -9.8999999999999986E+001          1.1351271857945921E+055 
         1.0941005413209894E+000          2.2915761048375046E+001          5.1041079886303862E+002          5.4967236640989734E+002          8.8306450061367840E+000          8.5366468732900245E+000         -1.7839946917641170E-002         -2.8169717951704348E-002         -9.8999999999999986E+001          1.1334995799301280E+055 
         1.0914916729386703E+000          2.2879271268253603E+001          5.1081627792993226E+002          5.5010863154391961E+002          8.8165821174231720E+000          8.5230550392217470E+000         -1.0070097576144511E-002         -2.0471923645073390E-002         -9.8999999999999986E+001          1.1325863057133266E+055 
         1.0901415127584011E+000          2.2860358642160001E+001          5.1102632689672009E+002          5.5033448199177030E+002          8.8092928061413289E+000          8.5160109224936047E+000         -5.5274084617186487E-003         -1.5912951818232268E-002         -9.8999999999999986E+001          1.1321089475155423E+055 
         1.0889176646821184E+000          2.2843190975026825E+001          5.1121670317921973E+002          5.5053902595904003E+002          8.8026754866115144E+000          8.5096172708969391E+000         -1.2782867272059899E-003         -1.1606828066173830E-002         -9.8999999999999986E+001          1.1316715470576303E+055 
         1.0879198080256143E+000          2.2829195129145926E+001          5.1159728275640464E+002          5.5048117877260358E+002          8.7955952205396990E+000          8.5060725495041609E+000         -1.1779258967796191E-004         -4.7645973524380863E-003         -4.0717196098490627E+000          1.1313516201227826E+055 
         1.0874865583523081E+000          2.2823125477472981E+001          5.1207420768096131E+002          5.5014489126139881E+002          8.7901930661481771E+000          8.5068427211105444E+000         -1.9555700540966394E-004         -2.9368169658403739E-003         -3.7145470791107487E+000          1.1312625884407542E+055 
         1.0869346746094655E+000          2.2815393331418910E+001          5.1291642868220379E+002          5.4948195759229236E+002          8.7815603986391846E+000          8.5095582118502140E+000         -8.6442180887125574E-005         -7.9882888059798496E-004         -3.5997449822838643E+000          1.1311819500948826E+055 
         1.0857754733845331E+000          2.2799148557802468E+001          5.1493468030664098E+002          5.4784070403870498E+002          8.7615908068270976E+000          8.5170872249336806E+000          1.4431521117706156E-003          1.5230685394663167E-003         -3.6109010327934064E+000          1.1310304042104735E+055 
         1.0839615622218424E+000          2.2773700541229172E+001          5.1853712543419556E+002          5.4482848028416424E+002          8.7271013028490092E+000          8.5320922933033163E+000          4.1522546954614456E-003          4.3408023102683045E-003         -3.7821781330684199E+000          1.1307811886924345E+055 
         1.0827113234023458E+000          2.2756118975563059E+001          5.2135815422135340E+002          5.4241347248958380E+002          8.7008632921956064E+000          8.5448808198589798E+000          6.3483145988745852E-003          6.5972137271823892E-003         -4.0417580124519992E+000          1.1305779981638841E+055 
         1.0819931808827876E+000          2.2745987444237645E+001          5.2290805877164121E+002          5.4109568723051746E+002          8.6863270354794828E+000          8.5516821435236032E+000          8.0789134002480726E-003          8.1959337343786142E-003         -4.3215527396813114E+000          1.1304236935372537E+055 
         1.0814541731888072E+000          2.2738355095658928E+001          5.2384109362852496E+002          5.4033576135515307E+002          8.6771222817363718E+000          8.5550731471414085E+000          9.5181465409018302E-003          9.8567823855205180E-003         -4.6061548428261014E+000          1.1302753887765661E+055 
         1.0809932076945974E+000          2.2731788771312036E+001          5.2448764623147179E+002          5.3983556195611993E+002          8.6703576515636254E+000          8.5568431144873252E+000          1.1136521980337717E-002          1.1309326065896198E-002         -5.0005039573287213E+000          1.1301253244793000E+055 
         1.0805226782152868E+000          2.2725011040272065E+001          5.2496655863103138E+002          5.3950264696209115E+002          8.6647574098444782E+000          8.5572946576814690E+000          1.2990803690438238E-002          1.3349635960504669E-002         -5.3386247367709165E+000          1.1299406263237711E+055 
         1.0799827089553760E+000          2.2716993462663932E+001          5.2534585995705834E+002          5.3927981688294290E+002          8.6594633655366398E+000          8.5565039776223255E+000          1.6059082498041725E-002          1.6322878895874561E-002         -5.8625340356171911E+000          1.1296586193986148E+055 
