                                       1                                        2                                        3                                        4                                        5                                        6                                        7 
                          version_number                                 compiler                                    build                         MESA_SDK_version                                     date                                burn_min1                                burn_min2 
                                   12115                               "gfortran"                                  "9.2.0"                  "x86_64-linux-20190830"                               "20211116"                  5.0000000000000000E+001                  1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29 
                            model_number                                 star_age                                star_mass                             log_abs_mdot                                   log_dt                           mass_conv_core                                 log_Teff                                    log_L                                   radius                                    log_g                   surf_avg_Lrad_div_Ledd                             log_center_T                           log_center_Rho                             log_center_P                                center_h1                               center_he4                               surface_h1                              surface_he4                          runtime_minutes                                 tau_wind                                    Tstar                              simple_dXdQ                       env_binding_energy                                     menv                                simple_eb                                   lambda                                     dxdq                                       x2                           max_gradr_hbot 
                                       1                  1.1340230290662867E+003                  5.9999998390008891E+000                 -9.8477983937291054E+000                  3.0546218740408908E+000                  1.6034042421200809E+000                  4.3785824128490711E+000                  3.1811972619766213E+000                  2.2734878717617217E+000                  4.5026553086576753E+000                  9.9588036138428787E-002                  7.5172592061719312E+000                  1.4417014472327785E+000                  1.7111924110508124E+001                  7.4594815157616590E-001                  2.5184481380097534E-001                  7.4598059315035747E-001                  2.5184029282398074E-001                  6.2966666666666671E-002                  1.0800175866459683E-003                  4.3791713724035413E+000                  7.4598008261868709E-001                  4.4212241545558920E+049                  5.9999998390008971E+000                  6.0086153011232120E+049                  1.3590388297620191E+000                  7.4599999189376831E-001                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       5                  4.6830615008321383E+003                  5.9999993548640633E+000                 -9.8838539616614032E+000                  3.0191643401200277E+000                  1.8527857135167940E+000                  4.3748464037335637E+000                  3.1580180016842569E+000                  2.2520344503811884E+000                  4.5108904974450166E+000                  9.6978979489570169E-002                  7.5163639247428611E+000                  1.4358500272856090E+000                  1.7105227422055812E+001                  7.4592944099658431E-001                  2.5185776034474405E-001                  7.4598059315035725E-001                  2.5184029282398085E-001                  2.9549999999999998E-001                  1.0210061077388982E-003                  4.3754175182607966E+000                  7.4598008261869542E-001                  4.4032123922361531E+049                  5.9999993548640678E+000                  6.0658538355636709E+049                  1.3775973755567925E+000                  7.4599999189376831E-001                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                      10                  1.3904821293293418E+004                  5.9999982298357359E+000                 -9.9313495062014354E+000                  3.3961196304452232E+000                  1.6455811106867961E+000                  4.3734376690854182E+000                  3.1353286582218312E+000                  2.2082479065542127E+000                  4.5279448208825785E+000                  9.4187985664354171E-002                  7.5193708521117246E+000                  1.4443804417376660E+000                  1.7116810779670661E+001                  7.4588444118602226E-001                  2.5190448990297515E-001                  7.4598059315035647E-001                  2.5184029282398041E-001                  5.7184999999999997E-001                  9.5390030286088235E-004                  4.3739951349500137E+000                  7.4598008261870463E-001                  4.4370088091645903E+049                  5.9999982298356951E+000                  6.1861291231387371E+049                  1.3942115937118176E+000                  7.4599999189376842E-001                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                      15                  3.0428170894670508E+004                  5.9999964519025069E+000                 -9.9887066064789103E+000                  3.5862662340300444E+000                  1.7279814536589635E+000                  4.3708333321116752E+000                  3.1115967890845648E+000                  2.1746559966350483E+000                  4.5412592134337171E+000                  9.0996776454361494E-002                  7.5207008348260791E+000                  1.4444467307271642E+000                  1.7118289859850247E+001                  7.4579519680453887E-001                  2.5199702329029144E-001                  7.4598059315035892E-001                  2.5184029282398068E-001                  8.4598333333333331E-001                  8.6604922842278918E-004                  4.3713777914476530E+000                  7.4598008261872195E-001                  4.4497367201115875E+049                  5.9999964519025459E+000                  6.2816825333104605E+049                  1.4116975741326405E+000                  7.4599999189376831E-001                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                      20                  6.4872188476651652E+004                  5.9999931870866874E+000                 -1.0040301591325294E+001                  3.9821724642681682E+000                  1.7933155907543950E+000                  4.3665579564086316E+000                  3.0912156736759262E+000                  2.1664604267029701E+000                  4.5445385897147270E+000                  8.7896075328883189E-002                  7.5182185032638609E+000                  1.4331583990973813E+000                  1.7104505536886052E+001                  7.4560676996090203E-001                  2.5219146188411656E-001                  7.4598059315035770E-001                  2.5184029282398113E-001                  1.1209833333333334E+000                  7.8172967002368779E-004                  4.3670915993225252E+000                  7.4598008261875659E-001                  4.4225827968672288E+049                  5.9999931870866536E+000                  6.3054388417646961E+049                  1.4257367541499060E+000                  7.4599999189376842E-001                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                      25                  1.5057992630624695E+005                  5.9999856507840610E+000                 -1.0057883356449100E+001                  4.3780786945062919E+000                  1.7679798952729129E+000                  4.3630682373604461E+000                  3.0888925521560937E+000                  2.1956779363162435E+000                  4.5329022895450812E+000                  8.6492097408647356E-002                  7.5129108611557962E+000                  1.4174607723760093E+000                  1.7083265777494507E+001                  7.4514331633206798E-001                  2.5266638718148560E-001                  7.4598059315035781E-001                  2.5184029282398068E-001                  1.4303166666666667E+000                  7.3668517140384863E-004                  4.3636058826702424E+000                  7.4598008261883164E-001                  4.3674131426067059E+049                  5.9999856507840503E+000                  6.2215178197158989E+049                  1.4245315514168564E+000                  7.4599999189376831E-001                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                      30                  3.6093334607668780E+005                  5.9999671714403231E+000                 -1.0055923910444372E+001                  4.7565959591419995E+000                  1.7499314347306654E+000                  4.3596735184525555E+000                  3.0911026646976105E+000                  2.2359553760625226E+000                  4.5171119637872401E+000                  8.6044788715038317E-002                  7.5068004070707586E+000                  1.3993443936259857E+000                  1.7058598862285354E+001                  7.4402269346404526E-001                  2.5380571033339477E-001                  7.4598059315035847E-001                  2.5184029282398090E-001                  1.7950500000000000E+000                  7.1931589945878967E-004                  4.3602167979599935E+000                  7.4598008261901438E-001                  4.3028903365575792E+049                  5.9999671714403062E+000                  6.1094087153709024E+049                  1.4198383499261065E+000                  7.4599999189376842E-001                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                      35                  8.0221869642341370E+005                  5.9999283802501413E+000                 -1.0055949862456934E+001                  5.0526432893813933E+000                  1.7380343491433838E+000                  4.3562473945699862E+000                  3.0928323508734739E+000                  2.2760417425663508E+000                  4.5016749742566891E+000                  8.5549376667770544E-002                  7.5011338132570398E+000                  1.3817179990970394E+000                  1.7034520939169955E+001                  7.4168777117523932E-001                  2.5616411199044070E-001                  7.4598059315035681E-001                  2.5184029282398057E-001                  2.1657833333333332E+000                  6.9979669378559986E-004                  4.3567959978959410E+000                  7.4598008261939353E-001                  4.2403227108531779E+049                  5.9999283802501173E+000                  6.0017302722912775E+049                  1.4153946955333723E+000                  7.4599999189376820E-001                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                      40                  1.6098705117775954E+006                  5.9998571822458384E+000                 -1.0053629250891799E+001                  5.2947443642375562E+000                  1.7294417475802681E+000                  4.3534103992387205E+000                  3.0956278620147173E+000                  2.3134065931849825E+000                  4.4875263282148898E+000                  8.5245712318197664E-002                  7.4968556167790279E+000                  1.3672957811222630E+000                  1.7014474397357411E+001                  7.3741253017839392E-001                  2.6046324695185680E-001                  7.4598059315035725E-001                  2.5184029282398046E-001                  2.5277666666666665E+000                  6.8567500757116089E-004                  4.3539646438389310E+000                  7.4598008262008519E-001                  4.1869512261086847E+049                  5.9998571822458260E+000                  5.9046535412020669E+049                  1.4102513314180161E+000                  7.4599999189376831E-001                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                      45                  2.8823492147030681E+006                  5.9997436515824507E+000                 -1.0046475901089003E+001                  5.4660291446025147E+000                  1.7194814812011354E+000                  4.3513687102416041E+000                  3.1003422612359781E+000                  2.3479700159739139E+000                  4.4746369551083625E+000                  8.5268988524407924E-002                  7.4943188642945895E+000                  1.3569785518523061E+000                  1.6999523180568083E+001                  7.3061881330114198E-001                  2.6727668210330380E-001                  7.4598059315035736E-001                  2.5184029282398029E-001                  2.8893666666666666E+000                  6.8013385225066411E-004                  4.3519290491487457E+000                  7.4598008262118887E-001                  4.1442523249895044E+049                  5.9997436515824347E+000                  5.8175135945194433E+049                  1.4037546795691733E+000                  1.6940649568482452E-001                  7.4092761056598933E-001                  0.0000000000000000E+000 
                                      50                  4.5827662950210562E+006                  5.9995882728168937E+000                 -1.0034034116751965E+001                  5.5652574317813910E+000                  1.7066612579885772E+000                  4.3500488821272079E+000                  3.1070264892506159E+000                  2.3805336061820963E+000                  4.4626621673198867E+000                  8.5643900011030560E-002                  7.4933808142830065E+000                  1.3504115046656822E+000                  1.6989172839392996E+001                  7.2138242850881351E-001                  2.7652620439891606E-001                  7.4598059315035792E-001                  2.5184029282398057E-001                  3.2500333333333336E+000                  6.8325855102360897E-004                  4.3506156642247333E+000                  7.4598008262269866E-001                  4.1106418006042031E+049                  5.9995882728168821E+000                  5.7376379704947517E+049                  1.3958010084097827E+000                  1.2662191974884243E+000                  7.4086112821881689E-001                  0.0000000000000000E+000 
                                      55                  6.5535910998128131E+006                  5.9994019066178339E+000                 -1.0017625089684762E+001                  5.6107583941764085E+000                  1.6918643357826368E+000                  4.3492168043642474E+000                  3.1151098942161979E+000                  2.4120159471359517E+000                  4.4512369605318796E+000                  8.6279847958299613E-002                  7.4935619569977643E+000                  1.3464829776694587E+000                  1.6982036196253528E+001                  7.1042455225584433E-001                  2.8749141287601487E-001                  7.4598059315035825E-001                  2.5184029282398063E-001                  3.6096333333333335E+000                  6.9281661098526603E-004                  4.3497926698493448E+000                  7.4598008262450899E-001                  4.0831443729162145E+049                  5.9994019066178765E+000                  5.6623968332779829E+049                  1.3867736029215771E+000                  1.2070508954473893E+000                  7.4078718020660006E-001                  0.0000000000000000E+000 
                                      60                  8.6448476041738428E+006                  5.9991958626180075E+000                 -9.9989166735060628E+000                  5.6262615224994121E+000                  1.6758971600269765E+000                  4.3486382754366311E+000                  3.1239915403068950E+000                  2.4433070928285816E+000                  4.4400262830257535E+000                  8.7075015450226639E-002                  7.4943805881577230E+000                  1.3440756958924716E+000                  1.6976724907904817E+001                  6.9847285725464570E-001                  2.9944678775120470E-001                  7.4598059315035792E-001                  2.5184029282398029E-001                  3.9686000000000003E+000                  7.0618863547687312E-004                  4.3492206216406526E+000                  7.4598008262651161E-001                  4.0589221179948183E+049                  5.9991958626180404E+000                  5.5894952330105695E+049                  1.3770885645304971E+000                  1.3210892673812864E+000                  7.4071098727246920E-001                  0.0000000000000000E+000 
                                      65                  1.0770613063747957E+007                  5.9989767855819345E+000                 -9.9788809160209162E+000                  5.6299252273234890E+000                  1.6583049615523793E+000                  4.3481669490172292E+000                  3.1333583642115199E+000                  2.4751648019725301E+000                  4.4287582937037620E+000                  8.7959723159981532E-002                  7.4955317504239209E+000                  1.3425002029840278E+000                  1.6972366686460209E+001                  6.8595496837423886E-001                  3.1196643713229327E-001                  7.4598059315035703E-001                  2.5184029282398024E-001                  4.3277999999999999E+000                  7.2176990284792645E-004                  4.3487579584797418E+000                  7.4598008262864224E-001                  4.0361665841951002E+049                  5.9989767855819416E+000                  5.5171501795807208E+049                  1.3669282633637783E+000                  1.3977415297669575E+000                  7.4063533839820117E-001                  0.0000000000000000E+000 
                                      70                  1.2880485265733944E+007                  5.9987488818475123E+000                 -9.9582301903956072E+000                  5.6212718381175710E+000                  1.6402382916599954E+000                  4.3477142551320513E+000                  3.1429286414303061E+000                  2.5078100986762006E+000                  4.4173607415948037E+000                  8.8888742466264478E-002                  7.4968472793502077E+000                  1.3413238375717642E+000                  1.6968438500072605E+001                  6.7313773878951033E-001                  3.2478449849111635E-001                  7.4598059315035481E-001                  2.5184029282398063E-001                  4.6857833333333332E+000                  7.3849282062835812E-004                  4.3483135664006971E+000                  7.4598008263086224E-001                  4.0139061202237124E+049                  5.9987488818474946E+000                  5.4449172107617061E+049                  1.3565133432812417E+000                  1.3111306134537237E+000                  7.4056182908994850E-001                  0.0000000000000000E+000 
                                      75                  1.4953541247092659E+007                  5.9985139825790235E+000                 -9.9373810196376677E+000                  5.6145832532952751E+000                  1.6220155243346264E+000                  4.3472396870605889E+000                  3.1526041359939891E+000                  2.5414497684520625E+000                  4.4057699682901665E+000                  8.9837627346176008E-002                  7.4982471491624532E+000                  1.3403561980524918E+000                  1.6964702011524746E+001                  6.6013872816711061E-001                  3.3778391369547534E-001                  7.4598059315035348E-001                  2.5184029282398085E-001                  5.0420666666666669E+000                  7.5566272888447073E-004                  4.3478446521517178E+000                  7.4598008263314219E-001                  3.9916627022156410E+049                  5.9985139825790315E+000                  5.3724252850057428E+049                  1.3459116377803380E+000                  1.3315189662897111E+000                  7.4049107781906465E-001                  0.0000000000000000E+000 
                                      80                  1.6982597578277476E+007                  5.9982727112854892E+000                 -9.9163834752939088E+000                  5.6036900037952035E+000                  1.6036189908647553E+000                  4.3467216277354463E+000                  3.1623474179684679E+000                  2.5762576237361077E+000                  4.3939369805389132E+000                  9.0798795646444191E-002                  7.4996984653216874E+000                  1.3395137885709367E+000                  1.6961046991048139E+001                  6.4699114972871774E-001                  3.5093170522116657E-001                  7.4598059315034837E-001                  2.5184029282398029E-001                  5.3982833333333335E+000                  7.7315903725715715E-004                  4.3473363697811145E+000                  7.4598008263548898E-001                  3.9691794313937877E+049                  5.9982727112854697E+000                  5.2994120366618360E+049                  1.3351404561725579E+000                  1.3177418611533442E+000                  7.4042326656185120E-001                  0.0000000000000000E+000 
                                      85                  1.8961652274343945E+007                  5.9980257204581013E+000                 -9.8953715832877993E+000                  5.5938103391449516E+000                  1.5852037910823569E+000                  4.3461516084975695E+000                  3.1721267410964207E+000                  2.6122755765355707E+000                  4.3818596971508592E+000                  9.1765867395529457E-002                  7.5011823437680354E+000                  1.3387575056379701E+000                  1.6957428717415716E+001                  6.3374826102923743E-001                  3.6417472167277765E-001                  7.4598059315034260E-001                  2.5184029282398041E-001                  5.7547333333333333E+000                  7.9075202493557935E-004                  4.3467756225592478E+000                  7.4598008263788862E-001                  3.9463986757859262E+049                  5.9980257204580916E+000                  5.2259135507627586E+049                  1.3242234199062559E+000                  1.3433381299409932E+000                  7.4035854949135316E-001                  0.0000000000000000E+000 
                                      90                  2.0899149935455076E+007                  5.9977718968588771E+000                 -9.8742564406197832E+000                  5.5839370560858343E+000                  1.5668862343509518E+000                  4.3455191831415956E+000                  3.1819826018521260E+000                  2.6497919177307323E+000                  4.3694557561702716E+000                  9.2739999719726407E-002                  7.5027003422702432E+000                  1.3380718921801320E+000                  1.6953807210953364E+001                  6.2034440318944972E-001                  3.7757867021105374E-001                  7.4598059315033560E-001                  2.5184029282398063E-001                  6.1102000000000007E+000                  8.0845938855818777E-004                  4.3461519535119111E+000                  7.4598008264035809E-001                  3.9231264799559494E+049                  5.9977718968588940E+000                  5.1514878810492503E+049                  1.3131077744674429E+000                  1.3330472108445064E+000                  7.4029661832334825E-001                  0.0000000000000000E+000 
                                      95                  2.2791514696211081E+007                  5.9975116121712855E+000                 -9.8530614088589434E+000                  5.5718586552516927E+000                  1.5486759726604735E+000                  4.3448216947157769E+000                  3.1918972865700308E+000                  2.6888346142088579E+000                  4.3567322703073490E+000                  9.3720043875420420E-002                  7.5042471054272593E+000                  1.3374528245237913E+000                  1.6950180741218006E+001                  6.0681695540423863E-001                  3.9110619199079383E-001                  7.4598059315032250E-001                  2.5184029282398102E-001                  6.4714333333333336E+000                  8.2624907221074740E-004                  4.3454627229487475E+000                  7.4598008264288418E-001                  3.8993744187754990E+049                  5.9975116121713077E+000                  5.0762460947189507E+049                  1.3018103802181220E+000                  1.3541581373126115E+000                  7.4023756311512312E-001                  0.0000000000000000E+000 
                                     100                  2.4637950947472721E+007                  5.9972449350607402E+000                 -9.8318652210549295E+000                  5.5638440734058756E+000                  1.5306105509465819E+000                  4.3440570998883583E+000                  3.2018575082182070E+000                  2.7294389877133076E+000                  4.3436943581784675E+000                  9.4702710665902648E-002                  7.5058136927202055E+000                  1.3368965161026221E+000                  1.6946560932346483E+001                  5.9316563753735385E-001                  4.0475757641823035E-001                  7.4598059315030418E-001                  2.5184029282398068E-001                  6.8365333333333336E+000                  8.4397002189640297E-004                  4.3447098663165047E+000                  7.4598008264547566E-001                  3.8751667056339457E+049                  5.9972449350607588E+000                  5.0002848520251287E+049                  1.2903405793498948E+000                  1.3592535947482738E+000                  7.4018137493082770E-001                  0.0000000000000000E+000 
                                     105                  2.6442461566839773E+007                  5.9969712700001212E+000                 -9.8106776938385991E+000                  5.5540691560338527E+000                  1.5125067693336749E+000                  4.3432243577691674E+000                  3.2118315780854916E+000                  2.7715703711396547E+000                  4.3303695017448165E+000                  9.5686154760419945E-002                  7.5074059112446951E+000                  1.3364302676122415E+000                  1.6942969395459940E+001                  5.7935400684758775E-001                  4.1856927012546841E-001                  7.4598059315027865E-001                  2.5184029282398068E-001                  7.1931833333333337E+000                  8.6164168178487380E-004                  4.3438843441977948E+000                  7.4598008264813553E-001                  3.8505748415882480E+049                  5.9969712700000946E+000                  4.9238247862331032E+049                  1.2787246031561801E+000                  1.3588280426158228E+000                  7.4012789443327864E-001                  0.0000000000000000E+000 
                                     110                  2.8206927501956776E+007                  5.9966903154960924E+000                 -9.7895284864632188E+000                  5.5443343868190507E+000                  1.4943765453898703E+000                  4.3423202493530741E+000                  3.2218249396069130E+000                  2.8153397198184265E+000                  4.3167393596466264E+000                  9.6668416210053898E-002                  7.5090267683329204E+000                  1.3360618237757902E+000                  1.6939409387871684E+001                  5.6537271994004235E-001                  4.3255061825783758E-001                  7.4598059315024623E-001                  2.5184029282398052E-001                  7.5477666666666661E+000                  8.7915276380607298E-004                  4.3429907598122455E+000                  7.4598008265086835E-001                  3.8255757815212467E+049                  5.9966903154960765E+000                  4.8468211996505097E+049                  1.2669520815826483E+000                  1.3487212158349395E+000                  7.4007702772946249E-001                  0.0000000000000000E+000 
                                     115                  2.9932721128669284E+007                  5.9964018107371055E+000                 -9.7683877041476421E+000                  5.5345499171808621E+000                  1.4762746769766473E+000                  4.3413419523351546E+000                  3.2318508466579741E+000                  2.8608846998972663E+000                  4.3027793698249193E+000                  9.7650864815519406E-002                  7.5106787968461459E+000                  1.3357934372574169E+000                  1.6935880700884592E+001                  5.5122956555944347E-001                  4.4669383292296067E-001                  7.4598059315020016E-001                  2.5184029282398013E-001                  7.9000666666666666E+000                  8.9650441455917660E-004                  4.3420223463428584E+000                  7.4598008265367699E-001                  3.8001395398166236E+049                  5.9964018107370984E+000                  4.7692013897413883E+049                  1.2550069121860528E+000                  1.3559143186140270E+000                  7.4002869563658236E-001                  0.0000000000000000E+000 
                                     120                  3.1622722826227907E+007                  5.9961051896671922E+000                 -9.7472227337891155E+000                  5.5253465280992913E+000                  1.4580376766196752E+000                  4.3402811492976179E+000                  3.2419315926171719E+000                  2.9084549025002806E+000                  4.2884339281518926E+000                  9.8632806859899225E-002                  7.5123685849623776E+000                  1.3356331754651554E+000                  1.6932376143955040E+001                  5.3688713624877271E-001                  4.6103632212394463E-001                  7.4598059315014364E-001                  2.5184029282398063E-001                  8.2575166666666675E+000                  9.1364279928229345E-004                  4.3409743153670117E+000                  7.4598008265656213E-001                  3.7741627304624954E+049                  5.9961051896671842E+000                  4.6907330255627813E+049                  1.2428539415384368E+000                  1.3587018835992906E+000                  7.3998278272777429E-001                  0.0000000000000000E+000 
                                     125                  3.3277861464102436E+007                  5.9958001601953121E+000                 -9.7260201070270398E+000                  5.5174723946363411E+000                  1.4397012892471279E+000                  4.3391323360310352E+000                  3.2520794443088366E+000                  2.9582432793694218E+000                  4.2736687297211047E+000                  9.9615361926008131E-002                  7.5140999469865779E+000                  1.3355852375252590E+000                  1.6928893843260859E+001                  5.2234450337846172E-001                  4.7557901473415193E-001                  7.4598059315007181E-001                  2.5184029282398041E-001                  8.6096499999999985E+000                  9.3051387881213808E-004                  4.3398374357362517E+000                  7.4598008265952831E-001                  3.7475943997580065E+049                  5.9958001601953237E+000                  4.6113169742924303E+049                  1.2304738673401254E+000                  1.3709753148569228E+000                  7.3993923238543025E-001                  0.0000000000000000E+000 
                                     130                  3.4905490132923700E+007                  5.9954851294738498E+000                 -9.7046581513117847E+000                  5.5093957014457402E+000                  1.4212044872945668E+000                  4.3378821487488040E+000                  3.2623478218714128E+000                  3.0107067058662800E+000                  4.2583767837736710E+000                  1.0059625019997356E-001                  7.5158855015564638E+000                  1.3356576674474245E+000                  1.6925416244025342E+001                  5.0752548599316405E-001                  4.9039809230340486E-001                  7.4598059314997855E-001                  2.5184029282398041E-001                  8.9606166666666649E+000                  9.4717955152803530E-004                  4.3385983385157765E+000                  7.4598008266259408E-001                  3.7202455456007836E+049                  5.9954851294738392E+000                  4.5304858057058416E+049                  1.2177921457531675E+000                  1.3790917022545628E+000                  7.3989782899650958E-001                  0.0000000000000000E+000 
